[ T - C r o s s ]
    title = energy spectrum
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.3000000      # minimum value of x-mesh points
     xmax =  0.3000000      # maximum value of x-mesh points
#    xdel =  0.6000000      # mesh width of x-mesh points
       nx =    1            # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -3.00000E-01  3.00000E-01
   y-type =    1            # y-mesh is given by the below data
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
           -3.00000E+01 -1.00000E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.3000000      # minimum value of z-mesh points
     zmax =  0.3000000      # maximum value of z-mesh points
#    zdel =  0.6000000      # mesh width of z-mesh points
       nz =    1            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -3.00000E-01  3.00000E-01
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   7.000000      # maximum value of e-mesh points
#    edel =  0.1000000      # mesh width of e-mesh points
       ne =   70            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  1.00000E-01  2.00000E-01  3.00000E-01  4.00000E-01
#           5.00000E-01  6.00000E-01  7.00000E-01  8.00000E-01  9.00000E-01
#           1.00000E+00  1.10000E+00  1.20000E+00  1.30000E+00  1.40000E+00
#           1.50000E+00  1.60000E+00  1.70000E+00  1.80000E+00  1.90000E+00
#           2.00000E+00  2.10000E+00  2.20000E+00  2.30000E+00  2.40000E+00
#           2.50000E+00  2.60000E+00  2.70000E+00  2.80000E+00  2.90000E+00
#           3.00000E+00  3.10000E+00  3.20000E+00  3.30000E+00  3.40000E+00
#           3.50000E+00  3.60000E+00  3.70000E+00  3.80000E+00  3.90000E+00
#           4.00000E+00  4.10000E+00  4.20000E+00  4.30000E+00  4.40000E+00
#           4.50000E+00  4.60000E+00  4.70000E+00  4.80000E+00  4.90000E+00
#           5.00000E+00  5.10000E+00  5.20000E+00  5.30000E+00  5.40000E+00
#           5.50000E+00  5.60000E+00  5.70000E+00  5.80000E+00  5.90000E+00
#           6.00000E+00  6.10000E+00  6.20000E+00  6.30000E+00  6.40000E+00
#           6.50000E+00  6.60000E+00  6.70000E+00  6.80000E+00  6.90000E+00
#           7.00000E+00
     unit =    2            # unit is [1/cm^2/MeV/source]
     axis =  eng            # axis of output
     file = cross_eng-w.out  # file name of output for the above axis
   output = flux            # surface crossing flux
     part =  photon     electron 
# kf/name :  22         11       
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
   stdcut = 1.0000000E-02   # (D=-1) threshold value of STD cutoff
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          81 (  0)           0 (  0)          81 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iz surf =  1   ix  =  1   iy  =  1
#   zmesh =   -3.0000E-01
#   x = (  -3.0000E-01  -   3.0000E-01  )
#   y = (  -3.0000E+01  -  -1.0000E+01  )

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(photon  ),hh0l   n y(electron),hh0dr  n 
#  e-lower      e-upper      photon      r.err    electron    r.err 
   0.0000E+00   1.0000E-01   4.2264E-03  0.0134   2.4145E-07  0.1285
   1.0000E-01   2.0000E-01   3.2741E-02  0.0037   1.8143E-05  0.0472
   2.0000E-01   3.0000E-01   6.9957E-02  0.0026   1.3617E-05  0.0488
   3.0000E-01   4.0000E-01   7.3636E-02  0.0041   9.4025E-06  0.0413
   4.0000E-01   5.0000E-01   6.5315E-02  0.0030   8.0081E-06  0.0462
   5.0000E-01   6.0000E-01   5.7474E-02  0.0022   6.3236E-06  0.0783
   6.0000E-01   7.0000E-01   4.9977E-02  0.0035   5.7763E-06  0.0983
   7.0000E-01   8.0000E-01   4.3988E-02  0.0052   4.0863E-06  0.0473
   8.0000E-01   9.0000E-01   3.9364E-02  0.0030   4.8632E-06  0.0793
   9.0000E-01   1.0000E+00   3.4894E-02  0.0038   3.8396E-06  0.1709
   1.0000E+00   1.1000E+00   3.0924E-02  0.0046   3.4089E-06  0.1034
   1.1000E+00   1.2000E+00   2.8726E-02  0.0042   4.3873E-06  0.3102
   1.2000E+00   1.3000E+00   2.6525E-02  0.0054   2.3118E-06  0.0995
   1.3000E+00   1.4000E+00   2.4769E-02  0.0041   2.8791E-06  0.0949
   1.4000E+00   1.5000E+00   2.2577E-02  0.0056   3.0869E-06  0.2354
   1.5000E+00   1.6000E+00   2.0606E-02  0.0046   2.7267E-06  0.1026
   1.6000E+00   1.7000E+00   1.9007E-02  0.0063   2.0468E-06  0.1789
   1.7000E+00   1.8000E+00   1.8022E-02  0.0042   1.8712E-06  0.1173
   1.8000E+00   1.9000E+00   1.6384E-02  0.0071   1.7880E-06  0.1688
   1.9000E+00   2.0000E+00   1.5724E-02  0.0079   1.2057E-06  0.1502
   2.0000E+00   2.1000E+00   1.4643E-02  0.0080   1.5896E-06  0.1494
   2.1000E+00   2.2000E+00   1.3750E-02  0.0085   1.5641E-06  0.1250
   2.2000E+00   2.3000E+00   1.2684E-02  0.0083   2.0890E-06  0.2684
   2.3000E+00   2.4000E+00   1.2570E-02  0.0063   7.4716E-07  0.1714
   2.4000E+00   2.5000E+00   1.1705E-02  0.0095   1.1887E-06  0.1801
   2.5000E+00   2.6000E+00   1.0431E-02  0.0093   1.3605E-06  0.2503
   2.6000E+00   2.7000E+00   1.0122E-02  0.0070   9.8064E-07  0.2079
   2.7000E+00   2.8000E+00   9.4067E-03  0.0098   8.9950E-07  0.2657
   2.8000E+00   2.9000E+00   8.7511E-03  0.0085   5.0707E-07  0.2198
   2.9000E+00   3.0000E+00   8.5371E-03  0.0095   1.3723E-06  0.4774
   3.0000E+00   3.1000E+00   8.3653E-03  0.0101   1.0389E-06  0.3826
   3.1000E+00   3.2000E+00   7.8908E-03  0.0153   8.5228E-07  0.4336
   3.2000E+00   3.3000E+00   7.1935E-03  0.0119   7.4044E-07  0.2301
   3.3000E+00   3.4000E+00   6.9815E-03  0.0068   6.2421E-07  0.2539
   3.4000E+00   3.5000E+00   6.6514E-03  0.0119   6.3449E-07  0.4091
   3.5000E+00   3.6000E+00   6.4289E-03  0.0069   6.2699E-07  0.2704
   3.6000E+00   3.7000E+00   6.1154E-03  0.0097   5.6023E-07  0.6367
   3.7000E+00   3.8000E+00   5.6982E-03  0.0100   6.1566E-07  0.3590
   3.8000E+00   3.9000E+00   5.2695E-03  0.0136   3.2877E-07  0.2855
   3.9000E+00   4.0000E+00   5.2606E-03  0.0115   1.9090E-06  0.6654
   4.0000E+00   4.1000E+00   4.8780E-03  0.0103   6.2942E-07  0.1316
   4.1000E+00   4.2000E+00   4.4531E-03  0.0117   4.4755E-07  0.3166
   4.2000E+00   4.3000E+00   4.4244E-03  0.0198   3.1562E-07  0.4412
   4.3000E+00   4.4000E+00   4.1529E-03  0.0133   2.7812E-07  0.3677
   4.4000E+00   4.5000E+00   4.3013E-03  0.0121   2.2868E-07  0.4460
   4.5000E+00   4.6000E+00   3.8148E-03  0.0175   1.0488E-06  0.3341
   4.6000E+00   4.7000E+00   3.4861E-03  0.0188   4.7957E-07  0.4797
   4.7000E+00   4.8000E+00   3.6381E-03  0.0151   4.3136E-08  0.7001
   4.8000E+00   4.9000E+00   3.4288E-03  0.0175   3.8798E-07  0.5907
   4.9000E+00   5.0000E+00   3.1351E-03  0.0163   2.6229E-07  0.4972
   5.0000E+00   5.1000E+00   3.1301E-03  0.0158   2.1714E-07  0.3772
   5.1000E+00   5.2000E+00   2.9424E-03  0.0178   9.9909E-08  0.5324
   5.2000E+00   5.3000E+00   2.7496E-03  0.0130   1.2504E-07  0.5273
   5.3000E+00   5.4000E+00   2.5819E-03  0.0115   1.6088E-07  0.4824
   5.4000E+00   5.5000E+00   2.4013E-03  0.0151   1.4532E-07  0.4428
   5.5000E+00   5.6000E+00   2.2881E-03  0.0139   8.7046E-08  0.6929
   5.6000E+00   5.7000E+00   2.1702E-03  0.0195   3.8077E-07  0.6639
   5.7000E+00   5.8000E+00   2.0442E-03  0.0145   8.6368E-08  0.6718
   5.8000E+00   5.9000E+00   1.9157E-03  0.0196   3.0627E-08  1.0000
   5.9000E+00   6.0000E+00   1.6471E-03  0.0196   1.5831E-07  0.5592
   6.0000E+00   6.1000E+00   1.5501E-03  0.0137   2.1861E-08  1.0000
   6.1000E+00   6.2000E+00   1.4611E-03  0.0113   5.2062E-08  1.0000
   6.2000E+00   6.3000E+00   1.2217E-03  0.0145   0.0000E+00  0.0000
   6.3000E+00   6.4000E+00   1.2316E-03  0.0282   0.0000E+00  0.0000
   6.4000E+00   6.5000E+00   1.0126E-03  0.0199   6.5884E-08  1.0000
   6.5000E+00   6.6000E+00   8.0426E-04  0.0261   0.0000E+00  0.0000
   6.6000E+00   6.7000E+00   6.4400E-04  0.0270   0.0000E+00  0.0000
   6.7000E+00   6.8000E+00   5.4047E-04  0.0321   0.0000E+00  0.0000
   6.8000E+00   6.9000E+00   3.5524E-04  0.0373   0.0000E+00  0.0000
   6.9000E+00   7.0000E+00   2.1647E-04  0.0715   0.0000E+00  0.0000

#   sum over                 9.4591E-02           1.2600E-05

'no. =  1,  iz surf =  1,  ix =  1,  iy =  1'
msuc: {\huge energy spectrum}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.02}
wt: s(0.7)
\vspace{-3}
  z surface crossing
  z     &=&  -3.0000E-01 [cm]
  area  &=&   1.2000E+01 [cm^2]
  xmin  &=&  -3.0000E-01 [cm]
  xmax  &=&   3.0000E-01 [cm]
  ymin  &=&  -3.0000E+01 [cm]
  ymax  &=&  -1.0000E+01 [cm]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  2   iz surf =  2   ix  =  1   iy  =  1
#   zmesh =    3.0000E-01
#   x = (  -3.0000E-01  -   3.0000E-01  )
#   y = (  -3.0000E+01  -  -1.0000E+01  )

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(photon  ),hh0l   n y(electron),hh0dr  n 
#  e-lower      e-upper      photon      r.err    electron    r.err 
   0.0000E+00   1.0000E-01   4.2279E-03  0.0104   2.9030E-07  0.2763
   1.0000E-01   2.0000E-01   3.2858E-02  0.0072   1.8368E-05  0.0443
   2.0000E-01   3.0000E-01   7.0106E-02  0.0011   1.2241E-05  0.0575
   3.0000E-01   4.0000E-01   7.3154E-02  0.0035   8.7381E-06  0.0574
