Y (cm),Measured
10.65,4.62E-02
10.6,4.78E-02
10.55,4.79E-02
10.5,4.84E-02
10.45,4.94E-02
10.4,4.97E-02
10.35,5.05E-02
10.3,5.11E-02
10.25,5.14E-02
10.2,5.19E-02
10.15,5.22E-02
10.1,5.29E-02
10.05,5.37E-02
10,5.47E-02
9.95,5.51E-02
9.9,5.56E-02
9.85,5.60E-02
9.8,5.68E-02
9.75,5.76E-02
9.7,5.82E-02
9.65,5.86E-02
9.6,5.95E-02
9.55,6.07E-02
9.5,6.11E-02
9.45,6.16E-02
9.4,6.22E-02
9.35,6.27E-02
9.3,6.36E-02
9.25,6.45E-02
9.2,6.53E-02
9.15,6.62E-02
9.1,6.69E-02
9.05,6.75E-02
9,6.81E-02
8.95,6.94E-02
8.9,7.02E-02
8.85,7.10E-02
8.8,7.14E-02
8.75,7.27E-02
8.7,7.37E-02
8.65,7.48E-02
8.6,7.52E-02
8.55,7.66E-02
8.5,7.76E-02
8.45,7.81E-02
8.4,7.88E-02
8.35,7.99E-02
8.3,8.13E-02
8.25,8.21E-02
8.2,8.30E-02
8.15,8.39E-02
8.1,8.49E-02
8.05,8.60E-02
8,8.78E-02
7.95,8.92E-02
7.9,9.06E-02
7.85,9.15E-02
7.8,9.23E-02
7.75,9.37E-02
7.7,9.57E-02
7.65,9.64E-02
7.6,9.71E-02
7.55,9.89E-02
7.5,1.00E-01
7.45,1.01E-01
7.4,1.03E-01
7.35,1.04E-01
7.3,1.06E-01
7.25,1.08E-01
7.2,1.10E-01
7.15,1.10E-01
7.1,1.12E-01
7.05,1.14E-01
7,1.16E-01
6.95,1.18E-01
6.9,1.20E-01
6.85,1.22E-01
6.8,1.24E-01
6.75,1.26E-01
6.7,1.29E-01
6.65,1.32E-01
6.6,1.35E-01
6.55,1.38E-01
6.5,1.41E-01
6.45,1.45E-01
6.4,1.49E-01
6.35,1.54E-01
6.3,1.58E-01
6.25,1.64E-01
6.2,1.70E-01
6.15,1.78E-01
6.1,1.86E-01
6.05,1.97E-01
6,2.10E-01
5.95,2.22E-01
5.9,2.41E-01
5.85,2.60E-01
5.8,2.87E-01
5.75,3.17E-01
5.7,3.52E-01
5.65,3.97E-01
5.6,4.39E-01
5.55,4.86E-01
5.5,5.32E-01
5.45,5.80E-01
5.4,6.14E-01
5.35,6.69E-01
5.3,7.10E-01
5.25,7.56E-01
5.2,7.90E-01
5.15,8.18E-01
5.1,8.45E-01
5.05,8.64E-01
5,8.79E-01
4.95,8.93E-01
4.9,9.05E-01
4.85,9.12E-01
4.8,9.24E-01
4.75,9.26E-01
4.7,9.30E-01
4.65,9.36E-01
4.6,9.40E-01
4.55,9.42E-01
4.5,9.47E-01
4.45,9.49E-01
4.4,9.53E-01
4.35,9.56E-01
4.3,9.58E-01
4.25,9.59E-01
4.2,9.60E-01
4.15,9.62E-01
4.1,9.63E-01
4.05,9.65E-01
4,9.68E-01
3.95,9.69E-01
3.9,9.71E-01
3.85,9.73E-01
3.8,9.74E-01
3.75,9.74E-01
3.7,9.76E-01
3.65,9.78E-01
3.6,9.78E-01
3.55,9.79E-01
3.5,9.79E-01
3.45,9.79E-01
3.4,9.81E-01
3.35,9.81E-01
3.3,9.82E-01
3.25,9.82E-01
3.2,9.84E-01
3.15,9.84E-01
3.1,9.85E-01
3.05,9.85E-01
3,9.85E-01
2.95,9.86E-01
2.9,9.87E-01
2.85,9.88E-01
2.8,9.90E-01
2.75,9.90E-01
2.7,9.91E-01
2.65,9.91E-01
2.6,9.92E-01
2.55,9.92E-01
2.5,9.92E-01
2.45,9.92E-01
2.4,9.93E-01
2.35,9.93E-01
2.3,9.93E-01
2.25,9.93E-01
