Z (cm),Measured
30,0.264669714
29.9,0.265985055
29.8,0.266917798
29.7,0.268100741
29.6,0.26942646
29.5,0.27172192
29.4,0.272839048
29.3,0.273653236
29.2,0.275343601
29.1,0.277288279
29,0.278480271
28.9,0.279138626
28.8,0.280839325
28.7,0.282499878
28.6,0.283801852
28.5,0.285566741
28.4,0.286865378
28.3,0.287693964
28.2,0.289886734
28.1,0.290415751
28,0.292389768
27.9,0.293496645
27.8,0.295411865
27.7,0.296678352
27.6,0.298308854
27.5,0.299950468
27.4,0.301321101
27.3,0.302605719
27.2,0.304567418
27.1,0.306339793
27,0.307191948
26.9,0.30885338
26.8,0.310324439
26.7,0.311376626
26.6,0.313432198
26.5,0.314461913
26.4,0.316310498
26.3,0.318103607
26.2,0.319888011
26.1,0.320838843
26,0.322848951
25.9,0.324961833
25.8,0.326556238
25.7,0.328057656
25.6,0.329864545
25.5,0.331382879
25.4,0.332630137
25.3,0.334149196
25.2,0.336240618
25.1,0.337859495
25,0.339438234
24.9,0.340855311
24.8,0.342075425
24.7,0.343637043
24.6,0.345863817
24.5,0.347381498
24.4,0.3495122
24.3,0.350943126
24.2,0.352454011
24.1,0.354613873
24,0.356571085
23.9,0.357600013
23.8,0.359959418
23.7,0.362176417
23.6,0.363445893
23.5,0.3654259
23.4,0.367355163
23.3,0.369170199
23.2,0.370808202
23.1,0.372858271
23,0.37453001
22.9,0.376729314
22.8,0.378064596
22.7,0.37983411
22.6,0.381650874
22.5,0.383111661
22.4,0.385416006
22.3,0.387488935
22.2,0.389076131
22.1,0.391741746
22,0.393666119
21.9,0.395627575
21.8,0.397178782
21.7,0.398959658
21.6,0.400844059
21.5,0.403427633
21.4,0.405387714
21.3,0.407237004
21.2,0.409070336
21.1,0.410578578
21,0.413237184
20.9,0.415031948
20.8,0.417278943
20.7,0.418591106
20.6,0.421277726
20.5,0.423697135
20.4,0.425825284
20.3,0.427715065
20.2,0.429735623
20.1,0.431443717
20,0.434240291
19.9,0.435850674
19.8,0.438361615
19.7,0.440627735
19.6,0.44233544
19.5,0.444102728
19.4,0.446822578
19.3,0.449015557
19.2,0.450688423
19.1,0.453255384
19,0.455453291
18.9,0.457072272
18.8,0.459881633
18.7,0.461484122
18.6,0.464089865
18.5,0.466983982
18.4,0.469524739
18.3,0.470881733
18.2,0.474132599
18.1,0.475424435
18,0.478167843
17.9,0.481127193
17.8,0.482590293
17.7,0.48528103
17.6,0.486872957
17.5,0.49021613
17.4,0.492545927
17.3,0.494301429
17.2,0.49751011
17.1,0.499626654
17,0.502349912
16.9,0.503610982
16.8,0.506819697
16.7,0.508541482
16.6,0.51162707
16.5,0.513608984
16.4,0.516675671
16.3,0.5192808
16.2,0.521213326
16.1,0.523864551
16,0.526237939
15.9,0.529521145
15.8,0.531580052
15.7,0.53462374
15.6,0.536867892
15.5,0.539167085
15.4,0.542154424
15.3,0.544516601
15.2,0.546574881
15.1,0.549893601
15,0.552363332
14.9,0.554731781
14.8,0.557619614
14.7,0.560845325
14.6,0.563164056
14.5,0.56623017
14.4,0.567783113
14.3,0.571271433
14.2,0.573626079
14.1,0.575773056
14,0.579393939
13.9,0.581452708
13.8,0.584829225
13.7,0.587213716
13.6,0.591508753
13.5,0.593452824
13.4,0.596296229
13.3,0.598873427
13.2,0.601629085
13.1,0.604453241
13,0.607543348
12.9,0.609465027
12.8,0.612838006
12.7,0.616827403
12.6,0.618871967
12.5,0.621530783
12.4,0.62437219
12.3,0.627281723
12.2,0.631219854
12.1,0.633542663
12,0.637055437
11.9,0.639979475
11.8,0.642117651
11.7,0.645387469
11.6,0.648398741
11.5,0.651349008
11.4,0.653960684
11.3,0.657227584
11.2,0.660545787
11.1,0.663394406
11,0.666765491
10.9,0.669701347
10.8,0.672792623
10.7,0.676150504
10.6,0.679349333
10.5,0.681852574
10.4,0.685510356
10.3,0.688910534
10.2,0.691233458
10.1,0.694439328
10,0.698107227
9.9,0.701084654
9.8,0.704306871
9.7,0.707856977
9.6,0.71102638
9.5,0.714472248
9.4,0.717356049
9.3,0.720352146
9.2,0.724450717
9.1,0.727108922
9,0.730901542
8.9,0.734023709
8.8,0.737043137
8.7,0.740709004
8.6,0.743489202
8.5,0.746993294
8.4,0.750704729
8.3,0.753921607
8.2,0.757160736
8.1,0.760563714
8,0.764764806
7.9,0.767484441
7.8,0.770823971
7.7,0.774507189
7.6,0.777564299
7.5,0.78170423
7.4,0.784950646
7.3,0.788535426
