Z (cm),Measured
7.2,0.791987817
7.1,0.795146831
7,0.798692916
6.9,0.802593918
6.8,0.805690796
6.7,0.809969879
6.6,0.812297042
6.5,0.816153909
6.4,0.819507434
6.3,0.82278219
6.2,0.827521889
6.1,0.830340993
6,0.834746292
5.9,0.837662642
5.8,0.842432951
5.7,0.845773179
5.6,0.849415313
5.5,0.852228092
5.4,0.857001848
5.3,0.860644386
5.2,0.863430762
5.1,0.867565501
5,0.869994996
4.9,0.874177758
4.8,0.877223689
4.7,0.881174702
4.6,0.885348956
4.5,0.889035546
4.4,0.892429257
4.3,0.895731805
4.2,0.900045689
4.1,0.904494068
4,0.907872512
3.9,0.910680023
3.8,0.914967873
3.7,0.91821417
3.6,0.922469065
3.5,0.926150261
3.4,0.929491146
3.3,0.933575458
3.2,0.937359847
3.1,0.940719224
3,0.944208418
2.9,0.948804771
2.8,0.952347725
2.7,0.9563735
2.6,0.959424184
2.5,0.963080573
2.4,0.967413841
2.3,0.9706627
2.2,0.973475084
2.1,0.977605257
2,0.981283938
1.9,0.985187981
1.8,0.988797462
1.7,0.991382265
1.6,0.994446408
1.5,0.996775
1.4,0.998398476
1.3,0.999783305
1.2,1
1.1,0.998718449
1,0.99745151
0.9,0.992879506
0.8,0.985825559
0.7,0.975389222
0.6,0.95942667
0.5,0.936326833
0.4,0.905019969
0.3,0.857559929
0.2,0.798456969
0.1,0.719120113
0,0.665903503
