X (cm),Measured
-4.16,0.003412969
-4,0.003412969
-3.84,0.003412969
-3.68,0.003412969
-3.52,0.006825939
-3.36,0.006825939
-3.2,0.006825939
-3.04,0.006825939
-2.87,0.006825939
-2.72,0.006825939
-2.56,0.010238908
-2.4,0.010238908
-2.24,0.010238908
-2.08,0.013651877
-1.92,0.017064846
-1.76,0.023890785
-1.6,0.030716724
-1.56,0.037542662
-1.52,0.040955631
-1.48,0.044368601
-1.44,0.04778157
-1.4,0.058020478
-1.36,0.068259386
-1.32,0.078498294
-1.28,0.09556314
-1.24,0.119453925
-1.2,0.14334471
-1.17,0.170648464
-1.12,0.211604096
-1.09,0.259385666
-1.04,0.324232082
-1,0.385665529
-0.96,0.460750853
-0.92,0.532423208
-0.87,0.597269625
-0.84,0.658703072
-0.8,0.71331058
-0.76,0.764505119
-0.72,0.802047782
-0.68,0.843003413
-0.64,0.866894198
-0.6,0.897610922
-0.56,0.914675768
-0.52,0.928327645
-0.48,0.948805461
-0.43,0.955631399
-0.4,0.965870307
-0.36,0.972696246
-0.31,0.972696246
-0.28,0.982935154
-0.24,0.986348123
-0.2,0.993174061
-0.16,0.993174061
-0.12,1
-0.08,0.996587031
-0.04,0.993174061
0,0.996587031
0.16,0.989761092
0.2,0.982935154
0.24,0.986348123
0.28,0.979522184
0.32,0.972696246
0.36,0.965870307
0.4,0.959044369
0.44,0.955631399
0.48,0.945392491
0.52,0.928327645
0.56,0.918088737
0.6,0.901023891
0.64,0.870307167
0.68,0.846416382
0.72,0.815699659
0.76,0.781569966
0.8,0.726962457
0.84,0.686006826
0.88,0.607508532
0.92,0.556313993
0.96,0.498293515
1,0.42662116
1.04,0.361774744
1.08,0.303754266
1.12,0.23890785
1.16,0.187713311
1.2,0.160409556
1.24,0.129692833
1.28,0.109215017
1.32,0.085324232
1.36,0.068259386
1.4,0.061433447
1.44,0.051194539
1.48,0.044368601
1.52,0.040955631
1.56,0.034129693
1.6,0.030716724
1.64,0.030716724
1.68,0.027303754
1.72,0.023890785
1.76,0.020477816
1.92,0.017064846
2.09,0.013651877
2.24,0.013651877
2.39,0.010238908
2.56,0.010238908
2.72,0.006825939
2.88,0.006825939
3.04,0.006825939
3.2,0.006825939
3.36,0.006825939
3.52,0.003412969
3.68,0.003412969
3.85,0.003412969
4,0.003412969
4.16,0.003412969
