X (cm),Measured
-3.52,0
-3.36,0
-3.21,0
-3.04,0
-2.88,0
-2.71,0
-2.56,0
-2.4,0.000995025
-2.24,0.000995025
-2.08,0.000995025
-1.92,0.000995025
-1.76,0.00199005
-1.6,0.002985075
-1.44,0.005970149
-1.4,0.007960199
-1.36,0.008955224
-1.32,0.009950249
-1.28,0.011940299
-1.24,0.013930348
-1.2,0.016915423
-1.16,0.020895522
-1.12,0.024875622
-1.08,0.029850746
-1.03,0.03880597
-1,0.048756219
-0.96,0.067661692
-0.92,0.092537313
-0.88,0.127363184
-0.84,0.169154229
-0.8,0.217910448
-0.76,0.288557214
-0.72,0.364179104
-0.68,0.461691542
-0.64,0.558208955
-0.6,0.644776119
-0.56,0.72039801
-0.52,0.786069652
-0.48,0.837810945
-0.44,0.880597015
-0.4,0.910447761
-0.36,0.935323383
-0.32,0.951243781
-0.28,0.970149254
-0.24,0.976119403
-0.2,0.985074627
-0.16,0.989054726
-0.12,0.995024876
-0.07,1
-0.04,0.997014925
0,0.997014925
0.05,0.993034826
0.08,0.995024876
0.12,0.990049751
0.17,0.982089552
0.2,0.971144279
0.24,0.96318408
0.28,0.948258706
0.32,0.932338308
0.36,0.909452736
0.4,0.876616915
0.44,0.84278607
0.48,0.8
0.52,0.733333333
0.56,0.670646766
0.6,0.581094527
0.64,0.492537313
0.68,0.415920398
0.72,0.326368159
0.76,0.245771144
0.79,0.185074627
0.84,0.141293532
0.88,0.094527363
0.92,0.072636816
0.95,0.054726368
0.99,0.041791045
1.04,0.032835821
1.08,0.025870647
1.12,0.020895522
1.16,0.016915423
1.2,0.014925373
1.24,0.011940299
1.28,0.009950249
1.31,0.008955224
1.36,0.006965174
1.4,0.005970149
1.44,0.004975124
1.6,0.002985075
1.76,0.00199005
1.91,0.000995025
2.08,0.000995025
2.24,0.000995025
2.4,0
2.56,0
2.72,0
2.88,0
3.04,0
3.2,0
3.35,0
3.52,0
