X (cm),Measured
-4.64,0
-4.48,0
-4.32,0
-4.16,0
-4,0
-3.84,0
-3.68,0
-3.52,0
-3.36,0.006410256
-3.2,0.006410256
-3.04,0.006410256
-2.89,0.006410256
-2.72,0.006410256
-2.56,0.006410256
-2.4,0.006410256
-2.24,0.006410256
-2.08,0.012820513
-1.93,0.012820513
-1.76,0.019230769
-1.6,0.025641026
-1.44,0.044871795
-1.39,0.057692308
-1.35,0.057692308
-1.32,0.070512821
-1.28,0.083333333
-1.27,0.083333333
-1.24,0.096153846
-1.2,0.121794872
-1.16,0.147435897
-1.13,0.173076923
-1.08,0.211538462
-1.05,0.256410256
-1,0.301282051
-0.96,0.365384615
-0.92,0.429487179
-0.88,0.493589744
-0.84,0.551282051
-0.8,0.608974359
-0.76,0.66025641
-0.72,0.717948718
-0.68,0.756410256
-0.64,0.801282051
-0.6,0.83974359
-0.56,0.865384615
-0.51,0.891025641
-0.48,0.91025641
-0.44,0.929487179
-0.39,0.948717949
-0.36,0.955128205
-0.32,0.974358974
-0.28,0.980769231
-0.24,0.987179487
-0.2,0.987179487
-0.16,0.993589744
-0.01,1
0.16,0.987179487
0.32,0.967948718
0.36,0.942307692
0.4,0.935897436
0.44,0.916666667
0.48,0.903846154
0.52,0.878205128
0.56,0.865384615
0.6,0.826923077
0.64,0.794871795
0.68,0.756410256
0.72,0.711538462
0.76,0.66025641
0.8,0.615384615
0.84,0.564102564
0.89,0.480769231
0.92,0.435897436
0.96,0.371794872
1,0.326923077
1.04,0.269230769
1.08,0.217948718
1.12,0.173076923
1.16,0.147435897
1.19,0.121794872
1.23,0.102564103
1.28,0.083333333
1.32,0.070512821
1.36,0.057692308
1.4,0.051282051
1.44,0.044871795
1.47,0.038461538
1.52,0.032051282
1.56,0.025641026
1.6,0.025641026
1.76,0.019230769
1.92,0.012820513
2.08,0.012820513
2.24,0.006410256
2.4,0.006410256
2.55,0.006410256
2.72,0.006410256
2.88,0.006410256
3.04,0.006410256
3.2,0.006410256
3.36,0
3.52,0
3.68,0
3.84,0
4,0
4.15,0
4.31,0
4.48,0
4.64,0
