X (cm),Measured
19.45,0.049569942
19.4,0.050330567
19.35,0.051077182
19.3,0.051559248
19.25,0.052007983
19.2,0.052369405
19.15,0.052779475
19.1,0.053388892
19.05,0.053672927
19,0.053900119
18.95,0.054351877
18.9,0.055239703
18.85,0.055809197
18.8,0.056184058
18.75,0.056400972
18.7,0.057505175
18.65,0.05774446
18.6,0.057941614
18.55,0.058532658
18.5,0.058909307
18.45,0.059451136
18.4,0.06003527
18.35,0.060915415
18.3,0.061384159
18.25,0.062121073
18.2,0.062332803
18.15,0.063677918
18.1,0.064000028
18.05,0.064173777
18,0.064877818
17.95,0.065327886
17.9,0.066063774
17.85,0.066750346
17.8,0.067205238
17.75,0.06774639
17.7,0.068123448
17.65,0.069073158
17.6,0.069652861
17.55,0.070711023
17.5,0.071337657
17.45,0.071885964
17.4,0.072361191
17.35,0.073187946
17.3,0.073905165
17.25,0.074717869
17.2,0.075339989
17.15,0.076509411
17.1,0.077323878
17.05,0.078277049
17,0.078997779
16.95,0.079483737
16.9,0.080254167
16.85,0.081341786
16.8,0.081862436
16.75,0.083182902
16.7,0.083763022
16.65,0.085060502
16.6,0.08607642
16.55,0.086886234
16.5,0.088243118
16.45,0.088891689
16.4,0.090317386
16.35,0.091283266
16.3,0.092243986
16.25,0.093248891
16.2,0.094740596
16.15,0.095578787
16.1,0.096809675
16.05,0.098041278
16,0.099485415
15.95,0.100983367
15.9,0.102476359
15.85,0.103801781
15.8,0.105156826
15.75,0.107030958
15.7,0.107795068
15.65,0.110088989
15.6,0.111398927
15.55,0.11398488
15.5,0.115759237
15.45,0.117525177
15.4,0.119717088
15.35,0.121938637
15.3,0.12557054
15.25,0.128627938
15.2,0.131266074
15.15,0.134618979
15.1,0.138559867
15.05,0.142539606
15,0.149080743
14.95,0.155527327
14.9,0.163027651
14.85,0.17068615
14.8,0.18239257
14.75,0.195306752
14.7,0.211698485
14.65,0.232173506
14.6,0.253555017
14.55,0.279855528
14.5,0.313528704
14.45,0.348373105
14.4,0.387790779
14.35,0.43197103
14.3,0.481071748
14.25,0.527969408
14.2,0.575372116
14.15,0.619969286
14.1,0.662352806
14.05,0.703408136
14,0.748589012
13.95,0.784598133
13.9,0.812718104
13.85,0.843123762
13.8,0.864975812
13.75,0.88611323
13.7,0.899834081
13.65,0.91342495
13.6,0.923193241
13.55,0.931647505
13.5,0.936577196
13.45,0.945705743
13.4,0.947241761
13.35,0.953500394
13.3,0.955847241
13.25,0.956819796
13.2,0.961700948
13.15,0.963353601
13.1,0.964358777
13.05,0.965833845
13,0.967464605
12.95,0.967815036
12.9,0.969451771
12.85,0.97160642
12.8,0.972417215
12.75,0.973236016
12.7,0.975726457
12.65,0.976894715
12.6,0.977299488
12.55,0.977970247
12.5,0.978749191
12.45,0.97926555
12.4,0.979993856
12.35,0.981090447
12.3,0.981479719
12.25,0.981741144
12.2,0.982484895
12.15,0.983285655
12.1,0.984170165
12.05,0.985317491
12,0.985768943
11.95,0.985812094
11.9,0.985993959
11.85,0.986345416
11.8,0.986977632
11.75,0.988603468
11.7,0.988708429
11.65,0.989324417
11.6,0.989341078
11.55,0.989535917
11.5,0.990213686
11.45,0.990407995
11.4,0.990900776
11.35,0.991322334
11.3,0.991521404
11.25,0.991824753
11.2,0.99190239
11.15,0.992272172
11.1,0.993375707
11.05,0.993754874
11,0.994066406
10.95,0.994909431
10.9,0.995435366
10.85,0.995220473
10.8,0.995207459
10.75,0.995560278
10.7,0.996055196
10.65,0.995933422
10.6,0.996451529
10.55,0.996425625
10.5,0.996292069
10.45,0.996335242
10.4,0.996973348
10.35,0.997026249
10.3,0.997387494
10.25,0.997549785
10.2,0.997994248
10.15,0.998040349
10.1,0.999211774
10.05,0.999297239
10,0.999293502
9.95,0.999361787
9.9,0.999417835
9.85,0.999499297
9.8,0.999404028
9.75,0.99948589
9.7,0.999595085
9.65,1
9.6,0.999217379
9.55,0.999180593
9.5,0.999358925
9.45,0.999218811
9.4,0.99961482
9.35,0.999623298
9.3,0.999600651
9.25,0.99934799
9.2,0.999568417
9.15,0.999563429
9.1,0.998948345
9.05,0.999184076
9,0.999163831
8.95,0.998772234
8.9,0.998762631
8.85,0.998739445
8.8,0.998692748
8.75,0.998240102
8.7,0.998050764
8.65,0.997468301
8.6,0.996551934
8.55,0.996453786
8.5,0.996347468
8.45,0.996433439
8.4,0.996353902
8.35,0.995672877
8.3,0.995548901
8.25,0.995230467
8.2,0.995257667
8.15,0.995291108
8.1,0.995273703
8.05,0.994736725
8,0.99467905
7.95,0.993948355
7.9,0.993031193
7.85,0.992999794
7.8,0.993004888
7.75,0.993181731
7.7,0.992722219
7.65,0.992392665
7.6,0.992105626
7.55,0.991153391
7.5,0.991439979
7.45,0.990980332
7.4,0.990879569
7.35,0.990229914
7.3,0.989932383
7.25,0.989922249
7.2,0.989922252
7.15,0.989677909
7.1,0.989010281
7.05,0.989302374
7,0.989319167
6.95,0.989134501
6.9,0.988419388
6.85,0.988368114
6.8,0.987850911
6.75,0.98793683
6.7,0.988009899
6.65,0.987925523
6.6,0.986917208
6.55,0.986693531
6.5,0.98669511
6.45,0.986695369
6.4,0.986695178
6.35,0.986550432
6.3,0.986096388
6.25,0.985175979
6.2,0.985218559
6.15,0.985387136
6.1,0.98537122
6.05,0.985350732
6,0.98499567
5.95,0.985233091
5.9,0.984793491
5.85,0.984872868
5.8,0.984887749
5.75,0.985128543
5.7,0.984814428
5.65,0.984741235
5.6,0.984622525
5.55,0.985210727
5.5,0.984446851
5.45,0.984223748
5.4,0.984347114
5.35,0.984364962
5.3,0.984526205
5.25,0.984910486
5.2,0.984527232
5.15,0.98447226
5.1,0.984495971
5.05,0.984548077
5,0.984466804
4.95,0.983554052
4.9,0.983113014
4.85,0.982213672
4.8,0.982157812
4.75,0.982142764
4.7,0.981914149
4.65,0.981951089
4.6,0.982435841
4.55,0.981996893
4.5,0.982092727
4.45,0.981783366
4.4,0.981953173
4.35,0.982353275
4.3,0.982364751
4.25,0.982340244
4.2,0.981909918
4.15,0.981395976
4.1,0.981206442
4.05,0.981199857
4,0.980909552
3.95,0.980851555
3.9,0.980115862
3.85,0.980299966
3.8,0.980256801
3.75,0.979488238
3.7,0.979525919
3.65,0.979479303
3.6,0.978627243
3.55,0.978615615
3.5,0.978885912
3.45,0.977951428
3.4,0.977912743
3.35,0.977711617
3.3,0.977294232
3.25,0.977040126
3.2,0.977118793
3.15,0.977241534
3.1,0.977206378
3.05,0.976371481
3,0.976357633
