X (cm),Measured
9.95,2.32E-02
9.9,2.35E-02
9.85,2.37E-02
9.8,2.39E-02
9.75,2.40E-02
9.7,2.43E-02
9.65,2.47E-02
9.6,2.49E-02
9.55,2.52E-02
9.5,2.55E-02
9.45,2.56E-02
9.4,2.60E-02
9.35,2.64E-02
9.3,2.66E-02
9.25,2.68E-02
9.2,2.72E-02
9.15,2.75E-02
9.1,2.79E-02
9.05,2.81E-02
9,2.86E-02
8.95,2.90E-02
8.9,2.93E-02
8.85,3.00E-02
8.8,3.02E-02
8.75,3.05E-02
8.7,3.09E-02
8.65,3.12E-02
8.6,3.16E-02
8.55,3.19E-02
8.5,3.31E-02
8.45,3.32E-02
8.4,3.36E-02
8.35,3.40E-02
8.3,3.45E-02
8.25,3.49E-02
8.2,3.54E-02
8.15,3.58E-02
8.1,3.63E-02
8.05,3.67E-02
8,3.72E-02
7.95,3.78E-02
7.9,3.82E-02
7.85,3.89E-02
7.8,3.92E-02
7.75,3.99E-02
7.7,4.01E-02
7.65,4.07E-02
7.6,4.16E-02
7.55,4.22E-02
7.5,4.27E-02
7.45,4.32E-02
7.4,4.39E-02
7.35,4.45E-02
7.3,4.49E-02
7.25,4.59E-02
7.2,4.68E-02
7.15,4.72E-02
7.1,4.78E-02
7.05,4.84E-02
7,4.97E-02
6.95,5.07E-02
6.9,5.13E-02
6.85,5.20E-02
6.8,5.27E-02
6.75,5.36E-02
6.7,5.48E-02
6.65,5.55E-02
6.6,5.63E-02
6.55,5.75E-02
6.5,5.85E-02
6.45,5.94E-02
6.4,6.13E-02
6.35,6.24E-02
6.3,6.32E-02
6.25,6.46E-02
6.2,6.65E-02
6.15,6.77E-02
6.1,6.96E-02
6.05,7.10E-02
6,7.30E-02
5.95,7.51E-02
5.9,7.83E-02
5.85,8.03E-02
5.8,8.35E-02
5.75,8.64E-02
5.7,9.04E-02
5.65,9.42E-02
5.6,9.95E-02
5.55,1.05E-01
5.5,1.11E-01
5.45,1.19E-01
5.4,1.28E-01
5.35,1.39E-01
5.3,1.52E-01
5.25,1.69E-01
5.2,1.88E-01
5.15,2.13E-01
5.1,2.39E-01
5.05,2.72E-01
5,3.11E-01
4.95,3.45E-01
4.9,3.93E-01
4.85,4.40E-01
4.8,4.89E-01
4.75,5.42E-01
4.7,5.90E-01
4.65,6.37E-01
4.6,6.83E-01
4.55,7.24E-01
4.5,7.65E-01
4.45,8.03E-01
4.4,8.36E-01
4.35,8.62E-01
4.3,8.81E-01
4.25,9.04E-01
4.2,9.19E-01
4.15,9.29E-01
4.1,9.37E-01
4.05,9.51E-01
4,9.56E-01
3.95,9.61E-01
3.9,9.63E-01
3.85,9.70E-01
3.8,9.74E-01
3.75,9.76E-01
3.7,9.78E-01
3.65,9.78E-01
3.6,9.80E-01
3.55,9.81E-01
3.5,9.84E-01
3.45,9.87E-01
3.4,9.88E-01
3.35,9.88E-01
3.3,9.89E-01
3.25,9.89E-01
3.2,9.89E-01
3.15,9.90E-01
3.1,9.92E-01
3.05,9.92E-01
3,9.93E-01
2.95,9.93E-01
2.9,9.93E-01
2.85,9.93E-01
2.8,9.94E-01
2.75,9.94E-01
2.7,9.95E-01
2.65,9.95E-01
2.6,9.95E-01
2.55,9.95E-01
2.5,9.95E-01
2.45,9.95E-01
2.4,9.96E-01
2.35,9.96E-01
2.3,9.96E-01
2.25,9.96E-01
2.2,9.97E-01
2.15,9.96E-01
2.1,9.96E-01
2.05,9.98E-01
2,9.98E-01
1.95,9.98E-01
1.9,9.97E-01
1.85,9.97E-01
1.8,9.97E-01
1.75,9.97E-01
1.7,9.98E-01
1.65,9.98E-01
1.6,9.98E-01
1.55,9.98E-01
1.5,9.98E-01
1.45,9.98E-01
1.4,9.98E-01
1.35,9.98E-01
1.3,9.98E-01
1.25,9.97E-01
1.2,9.97E-01
1.15,9.97E-01
1.1,9.98E-01
1.05,9.97E-01
1,9.97E-01
0.95,9.97E-01
0.9,9.97E-01
0.85,9.96E-01
0.8,9.96E-01
0.75,9.96E-01
0.7,9.96E-01
0.65,9.96E-01
0.6,9.95E-01
0.55,9.95E-01
0.5,9.95E-01
0.45,9.95E-01
0.4,9.95E-01
0.35,9.95E-01
0.3,9.95E-01
0.25,9.95E-01
0.2,9.95E-01
0.15,9.96E-01
0.1,9.96E-01
0.05,9.95E-01
0,9.95E-01
-0.05,9.95E-01
-0.1,9.96E-01
-0.15,9.96E-01
-0.2,9.96E-01
-0.25,9.96E-01
-0.3,9.96E-01
-0.35,9.97E-01
-0.4,9.97E-01
-0.45,9.97E-01
-0.5,9.98E-01
-0.55,9.98E-01
-0.6,9.98E-01
-0.65,9.98E-01
-0.7,9.98E-01
-0.75,9.98E-01
-0.8,9.98E-01
-0.85,9.98E-01
-0.9,9.98E-01
-0.95,9.98E-01
-1,9.98E-01
-1.05,9.98E-01
-1.1,9.98E-01
-1.15,9.99E-01
-1.2,9.99E-01
-1.25,9.99E-01
-1.3,9.99E-01
-1.35,9.99E-01
-1.4,9.99E-01
-1.45,9.99E-01
-1.5,9.99E-01
-1.55,9.99E-01
-1.6,9.99E-01
-1.65,9.99E-01
-1.7,1.00E+00
-1.75,1.00E+00
-1.8,1.00E+00
-1.85,9.99E-01
-1.9,9.99E-01
-1.95,9.99E-01
-2,9.99E-01
-2.05,9.99E-01
-2.1,9.99E-01
-2.15,9.99E-01
-2.2,9.99E-01
-2.25,9.99E-01
-2.3,9.99E-01
-2.35,9.98E-01
-2.4,9.98E-01
-2.45,9.98E-01
-2.5,9.98E-01
-2.55,9.98E-01
-2.6,9.98E-01
-2.65,9.97E-01
-2.7,9.97E-01
-2.75,9.97E-01
-2.8,9.97E-01
-2.85,9.96E-01
-2.9,9.95E-01
-2.95,9.95E-01
-3,9.94E-01
-3.05,9.95E-01
-3.1,9.94E-01
-3.15,9.93E-01
-3.2,9.92E-01
-3.25,9.92E-01
-3.3,9.90E-01
-3.35,9.90E-01
-3.4,9.89E-01
-3.45,9.88E-01
-3.5,9.86E-01
-3.55,9.83E-01
-3.6,9.81E-01
-3.65,9.81E-01
-3.7,9.79E-01
-3.75,9.75E-01
-3.8,9.71E-01
-3.85,9.68E-01
-3.9,9.64E-01
-3.95,9.60E-01
-4,9.55E-01
-4.05,9.47E-01
-4.1,9.37E-01
-4.15,9.25E-01
-4.2,9.10E-01
-4.25,8.93E-01
-4.3,8.67E-01
-4.35,8.43E-01
-4.4,8.10E-01
-4.45,7.74E-01
-4.5,7.34E-01
-4.55,6.88E-01
-4.6,6.47E-01
-4.65,5.98E-01
-4.7,5.45E-01
-4.75,4.97E-01
-4.8,4.48E-01
-4.85,4.01E-01
-4.9,3.57E-01
-4.95,3.15E-01
-5,2.81E-01
-5.05,2.48E-01
-5.1,2.20E-01
-5.15,1.96E-01
-5.2,1.76E-01
-5.25,1.58E-01
-5.3,1.45E-01
-5.35,1.33E-01
-5.4,1.23E-01
-5.45,1.14E-01
-5.5,1.08E-01
-5.55,1.01E-01
-5.6,9.65E-02
-5.65,9.15E-02
-5.7,8.79E-02
-5.75,8.51E-02
-5.8,8.09E-02
-5.85,7.83E-02
-5.9,7.65E-02
-5.95,7.39E-02
-6,7.20E-02
-6.05,6.98E-02
-6.1,6.85E-02
-6.15,6.68E-02
-6.2,6.56E-02
-6.25,6.38E-02
-6.3,6.27E-02
-6.35,6.12E-02
-6.4,5.97E-02
-6.45,5.87E-02
-6.5,5.78E-02
-6.55,5.68E-02
-6.6,5.59E-02
-6.65,5.49E-02
-6.7,5.36E-02
-6.75,5.28E-02
-6.8,5.21E-02
-6.85,5.15E-02
-6.9,5.05E-02
-6.95,4.96E-02
-7,4.91E-02
-7.05,4.84E-02
-7.1,4.74E-02
-7.15,4.72E-02
-7.2,4.68E-02
-7.25,4.60E-02
-7.3,4.50E-02
-7.35,4.45E-02
-7.4,4.39E-02
-7.45,4.29E-02
-7.5,4.22E-02
-7.55,4.16E-02
-7.6,4.12E-02
-7.65,4.10E-02
-7.7,4.00E-02
-7.75,3.95E-02
-7.8,3.89E-02
-7.85,3.84E-02
-7.9,3.82E-02
-7.95,3.74E-02
-8,3.68E-02
-8.05,3.65E-02
-8.1,3.61E-02
-8.15,3.57E-02
-8.2,3.51E-02
-8.25,3.47E-02
-8.3,3.45E-02
-8.35,3.35E-02
-8.4,3.33E-02
-8.45,3.31E-02
-8.5,3.27E-02
-8.55,3.20E-02
-8.6,3.15E-02
-8.65,3.12E-02
-8.7,3.06E-02
-8.75,3.03E-02
-8.8,3.00E-02
-8.85,2.96E-02
-8.9,2.89E-02
-8.95,2.88E-02
-9,2.84E-02
-9.05,2.83E-02
-9.1,2.77E-02
-9.15,2.74E-02
-9.2,2.70E-02
-9.25,2.65E-02
-9.3,2.63E-02
-9.35,2.59E-02
-9.4,2.57E-02
-9.45,2.56E-02
-9.5,2.52E-02
-9.55,2.49E-02
-9.6,2.47E-02
-9.65,2.46E-02
-9.7,2.42E-02
-9.75,2.36E-02
-9.8,2.35E-02
-9.85,2.29E-02
-9.9,2.30E-02
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
