X (cm),Measured
-3.68,0
-3.52,0
-3.36,0
-3.2,0
-3.04,0
-2.88,0
-2.72,0
-2.56,0
-2.4,0.001278772
-2.24,0.001278772
-2.08,0.001278772
-1.92,0.001278772
-1.76,0.001278772
-1.6,0.002557545
-1.44,0.002557545
-1.28,0.003836317
-1.12,0.007672634
-1.08,0.010230179
-1.04,0.010230179
-1,0.012787724
-0.96,0.015345269
-0.92,0.019181586
-0.88,0.02173913
-0.85,0.025575448
-0.79,0.031969309
-0.76,0.039641944
-0.72,0.051150895
-0.68,0.069053708
-0.64,0.093350384
-0.6,0.120204604
-0.56,0.184143223
-0.52,0.234015345
-0.48,0.319693095
-0.44,0.406649616
-0.4,0.528132992
-0.36,0.626598465
-0.32,0.705882353
-0.28,0.787723785
-0.24,0.841432225
-0.2,0.888746803
-0.16,0.930946292
-0.12,0.959079284
-0.08,0.980818414
-0.04,0.996163683
0,1
0.04,0.996163683
0.07,0.983375959
0.12,0.962915601
0.15,0.934782609
0.2,0.900255754
0.25,0.849104859
0.28,0.79028133
0.32,0.727621483
0.36,0.643222506
0.41,0.547314578
0.45,0.44629156
0.48,0.351662404
0.51,0.277493606
0.56,0.198209719
0.61,0.148337596
0.63,0.111253197
0.68,0.083120205
0.72,0.063938619
0.76,0.049872123
0.79,0.040920716
0.84,0.034526854
0.87,0.029411765
0.92,0.024296675
0.96,0.020460358
1,0.017902813
1.04,0.015345269
1.08,0.012787724
1.12,0.011508951
1.16,0.010230179
1.19,0.008951407
1.24,0.007672634
1.28,0.006393862
1.44,0.003836317
1.6,0.002557545
1.76,0.001278772
1.92,0.001278772
2.08,0.001278772
2.24,0.001278772
2.4,0
2.56,0
2.72,0
2.88,0
3.04,0
3.2,0
3.36,0
3.52,0
3.67,0
