X (cm),Measured
-5.79,0.01183432
-5.6,0.01183432
-5.4,0.013017751
-5.2,0.014201183
-5,0.016568047
-4.8,0.018934911
-4.6,0.021301775
-4.4,0.023668639
-4.2,0.028402367
-4.15,0.030769231
-4.1,0.030769231
-4.05,0.033136095
-4,0.035502959
-3.95,0.037869822
-3.9,0.040236686
-3.85,0.043786982
-3.8,0.04852071
-3.75,0.05443787
-3.7,0.061538462
-3.65,0.069822485
-3.6,0.080473373
-3.55,0.09704142
-3.51,0.118343195
-3.45,0.143195266
-3.4,0.184615385
-3.35,0.237869822
-3.3,0.30295858
-3.25,0.379881657
-3.2,0.462721893
-3.15,0.549112426
-3.1,0.634319527
-3.05,0.70295858
-3,0.753846154
-2.95,0.789349112
-2.9,0.817751479
-2.85,0.836686391
-2.8,0.84852071
-2.75,0.857988166
-2.7,0.871005917
-2.65,0.878106509
-2.61,0.886390533
-2.55,0.893491124
-2.5,0.898224852
-2.45,0.904142012
-2.4,0.90887574
-2.35,0.912426036
-2.3,0.918343195
-2.25,0.920710059
-2.2,0.925443787
-2.15,0.926627219
-2.1,0.932544379
-2.05,0.932544379
-2,0.933727811
-1.94,0.940828402
-1.9,0.944378698
-1.86,0.942011834
-1.8,0.947928994
-1.75,0.950295858
-1.7,0.952662722
-1.65,0.955029586
-1.6,0.95739645
-1.55,0.959763314
-1.5,0.960946746
-1.45,0.965680473
-1.4,0.965680473
-1.35,0.969230769
-1.3,0.969230769
-1.25,0.972781065
-1.2,0.972781065
-1.16,0.976331361
-1.1,0.977514793
-1.05,0.977514793
-1,0.979881657
-0.95,0.983431953
-0.9,0.981065089
-0.85,0.983431953
-0.8,0.98816568
-0.6,0.990532544
-0.55,0.989349112
-0.5,0.995266272
-0.45,0.99408284
-0.4,0.995266272
-0.35,0.997633136
-0.3,0.996449704
-0.25,1
-0.2,0.997633136
0,0.998816568
0.2,0.996449704
0.4,0.99408284
0.6,0.989349112
0.8,0.984615385
0.86,0.981065089
0.9,0.979881657
0.95,0.978698225
1,0.976331361
1.05,0.973964497
1.1,0.973964497
1.15,0.972781065
1.2,0.970414201
1.26,0.965680473
1.3,0.964497041
1.35,0.964497041
1.4,0.959763314
1.45,0.958579882
1.49,0.953846154
1.55,0.952662722
1.6,0.950295858
1.65,0.950295858
1.71,0.944378698
1.75,0.943195266
1.8,0.93964497
1.85,0.936094675
1.9,0.934911243
1.95,0.931360947
1.99,0.931360947
2.05,0.924260355
2.09,0.923076923
2.15,0.917159763
2.2,0.917159763
2.25,0.910059172
2.3,0.906508876
2.35,0.90295858
2.4,0.895857988
2.45,0.893491124
2.5,0.885207101
2.55,0.879289941
2.6,0.873372781
2.65,0.865088757
2.71,0.857988166
2.75,0.846153846
2.8,0.837869822
2.85,0.823668639
2.9,0.802366864
2.95,0.776331361
3,0.743195266
3.05,0.679289941
3.1,0.623668639
3.15,0.546745562
3.2,0.466272189
3.25,0.377514793
3.3,0.300591716
3.35,0.240236686
3.4,0.184615385
3.45,0.146745562
3.5,0.117159763
3.55,0.09704142
3.6,0.081656805
3.65,0.071005917
3.7,0.061538462
3.75,0.055621302
3.8,0.049704142
3.85,0.046153846
3.9,0.041420118
3.95,0.037869822
4,0.035502959
4.05,0.033136095
4.11,0.031952663
4.14,0.029585799
4.2,0.028402367
4.25,0.027218935
4.29,0.026035503
4.35,0.024852071
4.4,0.023668639
4.6,0.020118343
4.81,0.017751479
5.01,0.016568047
5.2,0.015384615
5.4,0.013017751
5.6,0.01183432
5.79,0.01183432
