Y (cm),Measured
7.5,0.009820064
7.45,0.009828585
7.4,0.009925684
7.35,0.010264389
7.3,0.010312595
7.25,0.010354129
7.2,0.010421642
7.15,0.010573825
7.1,0.010645976
7.05,0.010772073
7,0.010848515
6.95,0.011003074
6.9,0.011159227
6.85,0.011413967
6.8,0.011458171
6.75,0.011557084
6.7,0.011598551
6.65,0.011766694
6.6,0.011975371
6.55,0.012084801
6.5,0.012180214
6.45,0.012349931
6.4,0.012525747
6.35,0.012675351
6.3,0.012806526
6.25,0.013075749
6.2,0.013191902
6.15,0.013332304
6.1,0.013442708
6.05,0.013771766
6,0.013886368
5.95,0.014106622
5.9,0.014612637
5.85,0.014787252
5.8,0.014871696
5.75,0.015064367
5.7,0.015175314
5.65,0.015395777
5.6,0.015804976
5.55,0.015964721
5.5,0.016289635
5.45,0.016560935
5.4,0.016879632
5.35,0.017161193
5.3,0.017427344
5.25,0.01783268
5.2,0.018145354
5.15,0.0185565
5.1,0.018785064
5.05,0.019311322
5,0.019389377
4.95,0.019967123
4.9,0.020394176
4.85,0.02084175
4.8,0.021145952
4.75,0.021509977
4.7,0.02206073
4.65,0.022533253
4.6,0.022909851
4.55,0.023465158
4.5,0.024124532
4.45,0.024496184
4.4,0.024984283
4.35,0.025999456
4.3,0.026438154
4.25,0.027115835
4.2,0.028031147
4.15,0.028541006
4.1,0.029385065
4.05,0.030085864
4,0.031062188
3.95,0.032107406
3.9,0.0329076
3.85,0.033979912
3.8,0.035456981
3.75,0.03651811
3.7,0.038368682
3.65,0.039631119
3.6,0.041244145
3.55,0.0430573
3.5,0.045400527
3.45,0.047964432
3.4,0.050539522
3.35,0.053845932
3.3,0.0569174
3.25,0.061385678
3.2,0.065487807
3.15,0.072931169
3.1,0.078844322
3.05,0.086160872
3,0.095718271
2.95,0.106449502
2.9,0.119855592
2.85,0.13670169
2.8,0.158419324
2.75,0.18415453
2.7,0.220661322
2.65,0.264970223
2.6,0.314360022
2.55,0.363579587
2.5,0.422292811
2.45,0.475009426
2.4,0.535029868
2.35,0.595480939
2.3,0.644610093
2.25,0.704402113
2.2,0.757436833
2.15,0.799849755
2.1,0.844925752
2.05,0.884036519
2,0.90552624
1.95,0.922678876
1.9,0.936678576
1.85,0.950376615
1.8,0.955219541
1.75,0.961215302
1.7,0.968898552
1.65,0.974583654
1.6,0.976699695
1.55,0.979827716
1.5,0.982423091
1.45,0.985019935
1.4,0.988099152
1.35,0.989645304
1.3,0.991401046
1.25,0.992301863
1.2,0.992864335
1.15,0.993425089
1.1,0.993833716
1.05,0.99467581
1,0.99526975
0.95,0.995789697
0.9,0.997252861
0.85,0.997552424
0.8,0.997464525
0.75,0.998043252
0.7,0.998145413
0.65,0.998499334
0.6,0.998727343
0.55,0.998753085
0.5,0.999188151
0.45,0.99920505
0.4,0.99920606
0.35,0.999491211
