X (cm),Measured
-5.8,0.002430134
-5.6,0.002430134
-5.4,0.002430134
-5.2,0.002430134
-5,0.002430134
-4.8,0.0036452
-4.6,0.0036452
-4.4,0.0036452
-4.2,0.004860267
-4,0.004860267
-3.8,0.006075334
-3.6,0.007290401
-3.4,0.008505468
-3.2,0.008505468
-3,0.010935601
-2.8,0.013365735
-2.6,0.017010936
-2.4,0.021871203
-2.35,0.02673147
-2.3,0.02673147
-2.25,0.030376671
-2.2,0.034021871
-2.15,0.037667072
-2.1,0.044957473
-2.05,0.051032807
-1.99,0.059538275
-1.95,0.07290401
-1.9,0.089914945
-1.85,0.111786148
-1.8,0.143377886
-1.74,0.189550425
-1.7,0.255164034
-1.65,0.331713244
-1.6,0.420413123
-1.56,0.522478736
-1.5,0.612393682
-1.45,0.70109356
-1.4,0.770352369
-1.35,0.826245443
-1.3,0.865127582
-1.24,0.891859052
-1.2,0.911300122
-1.15,0.92709599
-1.1,0.934386391
-1.05,0.942891859
-1,0.955042527
-0.95,0.957472661
-0.9,0.963547995
-0.85,0.968408262
-0.8,0.97326853
-0.75,0.97691373
-0.69,0.982989064
-0.65,0.982989064
-0.6,0.986634265
-0.55,0.990279465
-0.49,0.990279465
-0.45,0.991494532
-0.4,0.993924666
-0.2,0.997569866
0,1
0.2,0.9963548
0.25,0.992709599
0.3,0.993924666
0.35,0.991494532
0.4,0.992709599
0.46,0.990279465
0.5,0.987849332
0.55,0.986634265
0.6,0.984204131
0.66,0.978128797
0.7,0.975698663
0.75,0.97326853
0.8,0.968408262
0.85,0.965978129
0.9,0.959902795
0.95,0.955042527
1,0.95018226
1.05,0.940461725
1.1,0.931956258
1.15,0.919805589
1.2,0.905224787
1.25,0.885783718
1.3,0.860267315
1.35,0.817739976
1.4,0.769137303
1.44,0.698663426
1.49,0.608748481
1.55,0.512758202
1.6,0.40218712
1.65,0.308626974
1.7,0.235722965
1.75,0.177399757
1.8,0.136087485
1.85,0.098420413
1.9,0.080194411
1.95,0.065613609
2.01,0.054678007
2.05,0.047387606
2.1,0.041312272
2.15,0.036452005
2.2,0.031591738
2.25,0.029161604
2.3,0.025516403
2.35,0.02308627
2.4,0.021871203
2.45,0.019441069
2.5,0.018226002
2.55,0.018226002
2.6,0.015795869
2.81,0.012150668
3,0.010935601
3.2,0.009720535
3.4,0.007290401
3.6,0.006075334
3.8,0.006075334
4,0.004860267
4.2,0.004860267
4.4,0.004860267
4.59,0.0036452
4.8,0.0036452
5,0.002430134
5.2,0.002430134
5.4,0.002430134
5.6,0.002430134
5.8,0.002430134
