X (cm),Measured
-5.79,0.004813478
-5.6,0.004813478
-5.4,0.004813478
-5.2,0.006016847
-5,0.006016847
-4.8,0.007220217
-4.6,0.007220217
-4.4,0.008423586
-4.2,0.009626955
-4,0.010830325
-3.8,0.012033694
-3.6,0.014440433
-3.4,0.016847172
-3.2,0.02045728
-3,0.026474128
-2.95,0.028880866
-2.9,0.031287605
-2.85,0.033694344
-2.8,0.037304452
-2.75,0.040914561
-2.7,0.044524669
-2.65,0.051744886
-2.6,0.058965102
-2.56,0.069795427
-2.5,0.083032491
-2.45,0.099879663
-2.4,0.12755716
-2.35,0.162454874
-2.3,0.210589651
-2.25,0.273164862
-2.2,0.354993983
-2.15,0.44645006
-2.1,0.539109507
-2.05,0.632972323
-2,0.70156438
-1.95,0.762936221
-1.9,0.814681107
-1.85,0.848375451
-1.8,0.87244284
-1.75,0.890493381
-1.69,0.902527076
-1.65,0.912154031
-1.6,0.922984356
-1.55,0.931407942
-1.5,0.937424789
-1.45,0.942238267
-1.4,0.949458484
-1.35,0.954271961
-1.3,0.959085439
-1.25,0.962695548
-1.2,0.963898917
-1.15,0.968712395
-1.1,0.971119134
-1.05,0.974729242
-1,0.977135981
-0.95,0.97954272
-0.9,0.980746089
-0.85,0.983152828
-0.8,0.985559567
-0.75,0.985559567
-0.7,0.987966306
-0.65,0.990373045
-0.6,0.990373045
-0.4,0.997593261
-0.21,0.998796631
0,1
0.2,0.998796631
0.4,0.995186522
0.46,0.991576414
0.5,0.991576414
0.55,0.987966306
0.6,0.990373045
0.65,0.986762936
0.7,0.985559567
0.75,0.986762936
0.8,0.97833935
0.85,0.97833935
0.9,0.973525872
0.94,0.974729242
1,0.972322503
1.05,0.969915764
1.1,0.967509025
1.15,0.962695548
1.2,0.959085439
1.25,0.959085439
1.3,0.954271961
1.35,0.947051745
1.4,0.943441637
1.45,0.93622142
1.49,0.930204573
1.55,0.922984356
1.6,0.913357401
1.65,0.903730445
1.7,0.89410349
1.75,0.878459687
1.8,0.855595668
1.85,0.831528279
1.89,0.793020457
1.95,0.753309266
2,0.6811071
2.05,0.612515042
2.11,0.503008424
2.15,0.42478941
2.2,0.334536703
2.25,0.265944645
2.3,0.19253911
2.35,0.14801444
2.4,0.115523466
2.45,0.092659446
2.5,0.074608905
2.56,0.06377858
2.6,0.055354994
2.65,0.049338147
2.7,0.0433213
2.75,0.038507822
2.8,0.034897714
2.84,0.032490975
2.9,0.030084236
2.95,0.027677497
3,0.025270758
3.05,0.024067389
3.1,0.022864019
3.15,0.02166065
3.2,0.02045728
3.4,0.016847172
3.6,0.014440433
3.8,0.012033694
4,0.010830325
4.21,0.009626955
4.4,0.008423586
4.6,0.007220217
4.8,0.007220217
4.99,0.006016847
5.2,0.006016847
5.4,0.004813478
5.6,0.004813478
5.8,0.004813478
