X (cm),Measured
-5.76,0
-5.6,0
-5.44,0
-5.28,0.001231527
-5.12,0.001231527
-4.96,0.001231527
-4.8,0.001231527
-4.64,0.001231527
-4.48,0.001231527
-4.32,0.001231527
-4.16,0.001231527
-4,0.002463054
-3.84,0.002463054
-3.68,0.002463054
-3.52,0.002463054
-3.36,0.003694581
-3.2,0.003694581
-3.04,0.003694581
-2.88,0.004926108
-2.72,0.004926108
-2.57,0.006157635
-2.4,0.007389163
-2.24,0.00862069
-2.08,0.011083744
-1.92,0.014778325
-1.88,0.018472906
-1.84,0.018472906
-1.8,0.019704433
-1.76,0.020935961
-1.72,0.023399015
-1.68,0.027093596
-1.64,0.02955665
-1.6,0.033251232
-1.56,0.03817734
-1.52,0.044334975
-1.48,0.050492611
-1.44,0.060344828
-1.4,0.073891626
-1.36,0.091133005
-1.32,0.113300493
-1.28,0.142857143
-1.24,0.178571429
-1.2,0.230295567
-1.16,0.294334975
-1.11,0.365763547
-1.08,0.45320197
-1.04,0.541871921
-1,0.61453202
-0.97,0.693349754
-0.92,0.75862069
-0.88,0.805418719
-0.84,0.850985222
-0.79,0.878078818
-0.76,0.901477833
-0.72,0.919950739
-0.68,0.937192118
-0.64,0.945812808
-0.6,0.954433498
-0.56,0.960591133
-0.52,0.969211823
-0.48,0.971674877
-0.44,0.977832512
-0.4,0.982758621
-0.36,0.986453202
-0.31,0.988916256
-0.27,0.993842365
-0.24,0.995073892
-0.2,0.997536946
-0.16,1
-0.12,1
-0.09,0.997536946
-0.04,1
0,0.998768473
0.16,0.992610837
0.2,0.99137931
0.23,0.990147783
0.28,0.988916256
0.32,0.986453202
0.36,0.981527094
0.4,0.982758621
0.44,0.974137931
0.47,0.971674877
0.52,0.965517241
0.56,0.960591133
0.6,0.950738916
0.64,0.939655172
0.68,0.93226601
0.72,0.918719212
0.76,0.899014778
0.8,0.875615764
0.84,0.84729064
0.88,0.79679803
0.92,0.766009852
0.96,0.700738916
0.99,0.640394089
1.04,0.557881773
1.08,0.482758621
1.12,0.384236453
1.16,0.301724138
1.2,0.254926108
1.24,0.194581281
1.29,0.155172414
1.32,0.118226601
1.36,0.089901478
1.4,0.072660099
1.44,0.0591133
1.48,0.049261084
1.52,0.043103448
1.56,0.036945813
1.6,0.032019704
1.64,0.028325123
1.68,0.025862069
1.72,0.023399015
1.76,0.020935961
1.8,0.019704433
1.84,0.017241379
1.88,0.016009852
1.92,0.014778325
1.96,0.013546798
2,0.013546798
2.04,0.012315271
2.08,0.011083744
2.23,0.00862069
2.4,0.007389163
2.56,0.006157635
2.72,0.004926108
2.88,0.004926108
3.04,0.003694581
3.2,0.003694581
3.36,0.003694581
3.52,0.002463054
3.68,0.002463054
3.84,0.002463054
4,0.001231527
4.16,0.001231527
4.32,0.001231527
4.48,0.001231527
4.64,0.001231527
4.8,0.001231527
4.96,0.001231527
5.13,0.001231527
5.28,0.001231527
5.43,0
5.6,0.001231527
5.76,0
