X (cm),Measured
-3.52,0
-3.36,0
-3.2,0
-3.04,0
-2.88,0
-2.72,0
-2.56,0
-2.4,0
-2.24,0
-2.08,0.000998004
-1.92,0.000998004
-1.76,0.000998004
-1.6,0.001996008
-1.44,0.002994012
-1.28,0.005988024
-1.23,0.007984032
-1.2,0.008982036
-1.16,0.00998004
-1.12,0.011976048
-1.08,0.01497006
-1.04,0.018962076
-1,0.022954092
-0.95,0.027944112
-0.92,0.036926148
-0.88,0.046906188
-0.84,0.060878244
-0.81,0.080838323
-0.75,0.110778443
-0.72,0.155688623
-0.68,0.211576846
-0.64,0.278443114
-0.6,0.362275449
-0.56,0.447105788
-0.52,0.536926148
-0.48,0.631736527
-0.44,0.716566866
-0.4,0.778443114
-0.36,0.840319361
-0.32,0.884231537
-0.28,0.922155689
-0.24,0.9500998
-0.2,0.972055888
-0.16,0.98502994
-0.12,0.993013972
-0.07,0.998003992
-0.04,0.999001996
0,1
0.04,0.998003992
0.07,0.994011976
0.12,0.983033932
0.16,0.969061876
0.2,0.9500998
0.24,0.922155689
0.28,0.888223553
0.32,0.851297405
0.36,0.798403194
0.4,0.733532934
0.44,0.661676647
0.48,0.586826347
0.51,0.486027944
0.56,0.413173653
0.6,0.311377246
0.64,0.241516966
0.68,0.186626747
0.72,0.131736527
0.76,0.093812375
0.8,0.068862275
0.84,0.053892216
0.88,0.037924152
0.92,0.030938124
0.96,0.023952096
1,0.01996008
1.03,0.015968064
1.08,0.012974052
1.12,0.00998004
1.16,0.008982036
1.2,0.007984032
1.24,0.005988024
1.28,0.00499002
1.31,0.003992016
1.36,0.003992016
1.4,0.002994012
1.44,0.002994012
1.6,0.000998004
1.76,0.000998004
1.92,0
2.08,0
2.24,0
2.4,0
2.56,0
2.72,0
2.88,0
3.04,0
3.2,0
3.36,0
3.52,0
