X (cm),Measured
-6.72,0.003367003
-6.56,0.003367003
-6.4,0.003367003
-6.24,0.003367003
-6.08,0.003367003
-5.92,0.003367003
-5.76,0.003367003
-5.6,0.003367003
-5.44,0.003367003
-5.28,0.003367003
-5.12,0.003367003
-4.96,0.006734007
-4.8,0.006734007
-4.64,0.006734007
-4.48,0.006734007
-4.32,0.006734007
-4.17,0.006734007
-4,0.006734007
-3.84,0.01010101
-3.68,0.01010101
-3.52,0.01010101
-3.36,0.01010101
-3.2,0.013468013
-3.05,0.013468013
-2.88,0.013468013
-2.72,0.016835017
-2.56,0.016835017
-2.4,0.02020202
-2.24,0.023569024
-2.08,0.03030303
-1.92,0.04040404
-1.87,0.047138047
-1.84,0.047138047
-1.8,0.053872054
-1.76,0.057239057
-1.72,0.063973064
-1.68,0.074074074
-1.64,0.087542088
-1.6,0.101010101
-1.56,0.117845118
-1.52,0.141414141
-1.48,0.168350168
-1.44,0.208754209
-1.4,0.252525253
-1.36,0.303030303
-1.32,0.36026936
-1.28,0.427609428
-1.24,0.488215488
-1.2,0.555555556
-1.16,0.622895623
-1.12,0.676767677
-1.08,0.730639731
-1.04,0.774410774
-1,0.811447811
-0.96,0.848484848
-0.92,0.875420875
-0.88,0.898989899
-0.83,0.912457912
-0.8,0.929292929
-0.76,0.939393939
-0.71,0.949494949
-0.68,0.956228956
-0.64,0.966329966
-0.6,0.96969697
-0.57,0.976430976
-0.52,0.97979798
-0.48,0.97979798
-0.44,0.986531987
-0.4,0.983164983
-0.36,0.98989899
-0.32,0.993265993
-0.16,1
0,0.996632997
0.16,0.996632997
0.32,0.98989899
0.48,0.97979798
0.64,0.962962963
0.69,0.952861953
0.72,0.949494949
0.76,0.939393939
0.8,0.929292929
0.81,0.929292929
0.84,0.915824916
0.88,0.895622896
0.92,0.882154882
0.96,0.858585859
1,0.831649832
1.04,0.801346801
1.08,0.754208754
1.12,0.707070707
1.16,0.646464646
1.2,0.602693603
1.24,0.535353535
1.28,0.474747475
1.32,0.404040404
1.36,0.336700337
1.4,0.279461279
1.44,0.228956229
1.47,0.185185185
1.51,0.154882155
1.56,0.124579125
1.6,0.101010101
1.63,0.087542088
1.68,0.074074074
1.72,0.063973064
1.76,0.057239057
1.8,0.050505051
1.84,0.047138047
1.88,0.043771044
1.92,0.04040404
1.96,0.037037037
2.01,0.033670034
2.04,0.033670034
2.08,0.03030303
2.24,0.026936027
2.4,0.02020202
2.56,0.016835017
2.72,0.016835017
2.88,0.016835017
3.04,0.013468013
3.2,0.013468013
3.36,0.01010101
3.52,0.01010101
3.68,0.01010101
3.84,0.01010101
3.99,0.006734007
4.16,0.006734007
4.31,0.006734007
4.48,0.006734007
4.64,0.006734007
4.8,0.006734007
4.96,0.006734007
5.11,0.006734007
5.28,0.003367003
5.44,0.003367003
5.6,0.003367003
5.76,0.003367003
5.91,0.003367003
6.08,0.003367003
6.24,0.003367003
6.4,0.003367003
6.56,0.003367003
6.72,0.003367003
