X (cm),Measured
-6.6,0.006557377
-6.4,0.006557377
-6.2,0.009836066
-6,0.009836066
-5.8,0.009836066
-5.6,0.009836066
-5.4,0.013114754
-5.2,0.013114754
-5,0.013114754
-4.8,0.013114754
-4.6,0.016393443
-4.4,0.016393443
-4.2,0.016393443
-4,0.019672131
-3.8,0.02295082
-3.61,0.026229508
-3.4,0.026229508
-3.2,0.029508197
-3,0.032786885
-2.8,0.039344262
-2.6,0.049180328
-2.55,0.059016393
-2.5,0.059016393
-2.45,0.06557377
-2.41,0.072131148
-2.4,0.072131148
-2.35,0.078688525
-2.3,0.091803279
-2.25,0.104918033
-2.2,0.124590164
-2.16,0.150819672
-2.1,0.180327869
-2.05,0.22295082
-2,0.272131148
-1.96,0.340983607
-1.9,0.409836066
-1.84,0.485245902
-1.8,0.563934426
-1.75,0.629508197
-1.7,0.695081967
-1.65,0.750819672
-1.6,0.796721311
-1.55,0.836065574
-1.5,0.862295082
-1.45,0.885245902
-1.4,0.904918033
-1.35,0.921311475
-1.3,0.931147541
-1.25,0.940983607
-1.2,0.944262295
-1.15,0.954098361
-1.1,0.960655738
-1.05,0.963934426
-1,0.967213115
-0.94,0.973770492
-0.9,0.97704918
-0.86,0.97704918
-0.8,0.983606557
-0.6,0.990163934
-0.4,0.996721311
-0.2,0.996721311
0,1
0.2,0.993442623
0.4,0.990163934
0.6,0.986885246
0.8,0.97704918
1,0.970491803
1.05,0.957377049
1.1,0.954098361
1.15,0.950819672
1.2,0.947540984
1.25,0.940983607
1.3,0.931147541
1.35,0.918032787
1.4,0.904918033
1.45,0.88852459
1.5,0.86557377
1.55,0.836065574
1.6,0.793442623
1.65,0.754098361
1.7,0.698360656
1.75,0.636065574
1.8,0.570491803
1.84,0.472131148
1.9,0.406557377
1.95,0.331147541
2,0.268852459
2.05,0.226229508
2.11,0.173770492
2.15,0.144262295
2.2,0.121311475
2.25,0.104918033
2.29,0.08852459
2.35,0.078688525
2.4,0.068852459
2.45,0.062295082
2.5,0.059016393
2.55,0.052459016
2.6,0.049180328
2.66,0.045901639
2.7,0.045901639
2.75,0.042622951
2.8,0.039344262
3,0.032786885
3.2,0.029508197
3.4,0.026229508
3.6,0.02295082
3.8,0.02295082
4,0.019672131
4.2,0.019672131
4.39,0.016393443
4.6,0.016393443
4.8,0.016393443
5,0.013114754
5.2,0.013114754
5.4,0.013114754
5.6,0.009836066
5.8,0.009836066
6,0.009836066
6.2,0.009836066
6.4,0.006557377
6.6,0.006557377
