X (cm),Measured
-4.47,0
-4.32,0
-4.16,0.006329114
-4,0.006329114
-3.84,0.006329114
-3.68,0.006329114
-3.52,0.006329114
-3.36,0.006329114
-3.2,0.006329114
-3.04,0.006329114
-2.88,0.006329114
-2.72,0.006329114
-2.57,0.012658228
-2.4,0.012658228
-2.24,0.012658228
-2.08,0.018987342
-1.92,0.025316456
-1.76,0.03164557
-1.6,0.044303797
-1.55,0.063291139
-1.52,0.063291139
-1.48,0.069620253
-1.44,0.082278481
-1.41,0.101265823
-1.36,0.120253165
-1.32,0.14556962
-1.28,0.17721519
-1.24,0.208860759
-1.2,0.253164557
-1.16,0.291139241
-1.12,0.348101266
-1.08,0.405063291
-1.04,0.474683544
-1,0.53164557
-0.95,0.594936709
-0.92,0.651898734
-0.88,0.708860759
-0.84,0.746835443
-0.8,0.778481013
-0.76,0.816455696
-0.72,0.85443038
-0.68,0.873417722
-0.63,0.898734177
-0.6,0.917721519
-0.56,0.930379747
-0.51,0.943037975
-0.48,0.949367089
-0.44,0.962025316
-0.39,0.974683544
-0.36,0.974683544
-0.31,0.987341772
-0.16,1
0,0.993670886
0.17,0.993670886
0.32,0.981012658
0.49,0.949367089
0.52,0.936708861
0.56,0.930379747
0.6,0.911392405
0.64,0.898734177
0.67,0.886075949
0.72,0.860759494
0.76,0.835443038
0.8,0.797468354
0.84,0.765822785
0.88,0.708860759
0.92,0.67721519
0.96,0.626582278
1,0.575949367
1.04,0.518987342
1.08,0.455696203
1.12,0.386075949
1.16,0.32278481
1.2,0.284810127
1.24,0.234177215
1.28,0.202531646
1.32,0.164556962
1.36,0.132911392
1.4,0.107594937
1.44,0.088607595
1.48,0.075949367
1.52,0.063291139
1.56,0.056962025
1.6,0.050632911
1.64,0.037974684
1.67,0.037974684
1.72,0.03164557
1.77,0.03164557
1.93,0.025316456
2.08,0.018987342
2.24,0.012658228
2.39,0.012658228
2.56,0.012658228
2.73,0.006329114
2.88,0.012658228
3.03,0.006329114
3.21,0.006329114
3.36,0.006329114
3.52,0.006329114
3.68,0.006329114
3.84,0.006329114
3.99,0.006329114
4.16,0.006329114
4.32,0
4.48,0
