Y (cm),Measured
19.4,0.03739707
19.35,0.038095945
19.3,0.038724654
19.25,0.039346629
19.2,0.039805185
19.15,0.039970717
19.1,0.04049232
19.05,0.04104929
19,0.041613862
18.95,0.042098708
18.9,0.042858304
18.85,0.043166683
18.8,0.043901535
18.75,0.044373695
18.7,0.044823995
18.65,0.045643498
18.6,0.045817506
18.55,0.046413453
18.5,0.04731068
18.45,0.047623584
18.4,0.048324466
18.35,0.048664952
18.3,0.049201597
18.25,0.049632813
18.2,0.050094831
18.15,0.050694801
18.1,0.051472377
18.05,0.052358179
18,0.052846226
17.95,0.053266261
17.9,0.054148348
17.85,0.054826857
17.8,0.055201954
17.75,0.056438194
17.7,0.056993159
17.65,0.057309372
17.6,0.057767742
17.55,0.058758473
17.5,0.059330203
17.45,0.059805879
17.4,0.06031931
17.35,0.06161387
17.3,0.062281749
17.25,0.062918341
17.2,0.063739394
17.15,0.064470623
17.1,0.065453232
17.05,0.065848771
17,0.066499552
16.95,0.067660315
16.9,0.068434719
16.85,0.069855937
16.8,0.070836976
16.75,0.071481851
16.7,0.072224648
16.65,0.073172375
16.6,0.074202086
16.55,0.075334703
16.5,0.076466651
16.45,0.077505894
16.4,0.078373453
16.35,0.079599752
16.3,0.080704498
16.25,0.081856286
16.2,0.083188419
16.15,0.08505143
16.1,0.085809655
16.05,0.087403437
16,0.088479732
15.95,0.090345595
15.9,0.091341833
15.85,0.092946795
15.8,0.094629444
15.75,0.096325461
15.7,0.097728879
15.65,0.099127988
15.6,0.100885277
15.55,0.10332633
15.5,0.106254553
15.45,0.108106217
15.4,0.110135714
15.35,0.112204443
15.3,0.115218729
15.25,0.118490613
15.2,0.121305327
15.15,0.123994389
15.1,0.128502951
15.05,0.133193264
15,0.13755946
14.95,0.143366819
14.9,0.14968625
14.85,0.156134767
14.8,0.165588763
14.75,0.177504943
14.7,0.190339869
14.65,0.205218446
14.6,0.225808248
14.55,0.253998017
14.5,0.290100245
14.45,0.334091147
14.4,0.375827978
14.35,0.429496207
14.3,0.481603813
14.25,0.530788609
14.2,0.583698557
14.15,0.637516963
14.1,0.690627409
14.05,0.73379729
14,0.776619925
13.95,0.816070216
13.9,0.850052091
13.85,0.876108227
13.8,0.897123631
13.75,0.911549227
13.7,0.921575029
13.65,0.929210686
13.6,0.935674908
13.55,0.941418627
13.5,0.946849619
13.45,0.9506729
13.4,0.953691339
13.35,0.955722338
13.3,0.958912758
13.25,0.960235082
13.2,0.962965546
13.15,0.964831121
13.1,0.966383172
13.05,0.967542695
13,0.969656259
12.95,0.970267667
12.9,0.971427223
12.85,0.973155502
12.8,0.974030505
12.75,0.975145724
12.7,0.97620943
12.65,0.977023319
12.6,0.977553762
12.55,0.978406516
12.5,0.978825991
12.45,0.980046741
12.4,0.981293762
12.35,0.981738018
12.3,0.982312174
12.25,0.982997639
12.2,0.983241956
12.15,0.983746552
12.1,0.984416304
12.05,0.985373228
12,0.985792866
11.95,0.986093204
11.9,0.986278125
11.85,0.987242928
11.8,0.987537654
11.75,0.988444109
11.7,0.989246636
11.65,0.989229278
11.6,0.989216132
11.55,0.989819196
11.5,0.99102081
11.45,0.991233392
11.4,0.991779216
11.35,0.992979929
11.3,0.993106241
11.25,0.993288167
11.2,0.993163387
11.15,0.993193134
11.1,0.994371325
11.05,0.994537949
11,0.994771105
10.95,0.99482498
10.9,0.994827254
10.85,0.994941309
10.8,0.995402938
10.75,0.995425155
10.7,0.996195787
10.65,0.997051295
10.6,0.997663829
10.55,0.997713038
10.5,0.997764192
10.45,0.997739427
10.4,0.998193257
10.35,0.999032636
10.3,0.998289593
10.25,0.998976394
10.2,0.998896576
10.15,0.999026299
10.1,0.999045832
10.05,0.999087997
10,0.999083638
9.95,0.999077677
9.9,0.999082974
9.85,0.99919467
9.8,0.999802908
9.75,0.999818416
9.7,0.999781311
9.65,0.999402954
9.6,0.999812847
9.55,0.999675724
9.5,0.999494151
9.45,0.999757206
9.4,0.999864987
9.35,1
9.3,0.999965374
9.25,0.99995523
9.2,0.999272307
9.15,0.999370906
9.1,0.999647831
9.05,0.99946333
9,0.998822461
8.95,0.998801087
8.9,0.99846211
8.85,0.998242428
8.8,0.997833855
8.75,0.997784533
8.7,0.997140801
8.65,0.997093652
8.6,0.997115718
8.55,0.996539542
8.5,0.995861623
8.45,0.996082545
8.4,0.996408214
8.35,0.996261643
8.3,0.995667412
8.25,0.995385085
8.2,0.994506048
8.15,0.994501289
8.1,0.994935658
