X (cm),Measured
-3.51,0
-3.36,0.001253133
-3.2,0.001253133
-3.04,0.001253133
-2.88,0.001253133
-2.72,0.001253133
-2.56,0.001253133
-2.4,0.002506266
-2.24,0.002506266
-2.08,0.003759398
-1.92,0.005012531
-1.76,0.006265664
-1.6,0.00877193
-1.44,0.012531328
-1.4,0.016290727
-1.36,0.016290727
-1.32,0.018796992
-1.28,0.021303258
-1.24,0.025062657
-1.2,0.028822055
-1.16,0.033834586
-1.12,0.040100251
-1.08,0.047619048
-1.03,0.060150376
-1,0.07518797
-0.96,0.098997494
-0.92,0.131578947
-0.88,0.176691729
-0.83,0.22556391
-0.81,0.278195489
-0.76,0.353383459
-0.73,0.428571429
-0.68,0.516290727
-0.64,0.602756892
-0.6,0.676691729
-0.56,0.744360902
-0.52,0.802005013
-0.48,0.850877193
-0.44,0.894736842
-0.4,0.918546366
-0.36,0.94235589
-0.32,0.957393484
-0.28,0.969924812
-0.24,0.978696742
-0.2,0.987468672
-0.16,0.99122807
-0.12,0.996240602
-0.08,0.998746867
-0.04,1
0,0.997493734
0.05,0.996240602
0.08,0.997493734
0.12,0.989974937
0.15,0.984962406
0.16,0.984962406
0.2,0.976190476
0.24,0.967418546
0.28,0.956140351
0.32,0.94235589
0.36,0.921052632
0.4,0.892230576
0.43,0.862155388
0.47,0.827067669
0.52,0.768170426
0.56,0.719298246
0.6,0.640350877
0.64,0.56641604
0.68,0.487468672
0.72,0.403508772
0.76,0.317042607
0.79,0.254385965
0.83,0.19924812
0.88,0.140350877
0.92,0.111528822
0.95,0.086466165
1,0.06641604
1.04,0.052631579
1.08,0.042606516
1.12,0.035087719
1.16,0.030075188
1.2,0.027568922
1.24,0.022556391
1.28,0.020050125
1.32,0.01754386
1.36,0.015037594
1.4,0.013784461
1.44,0.011278195
1.48,0.010025063
1.52,0.010025063
1.56,0.00877193
1.6,0.007518797
1.76,0.006265664
1.92,0.003759398
2.08,0.003759398
2.23,0.002506266
2.4,0.002506266
2.56,0.001253133
2.72,0.001253133
2.88,0.001253133
3.04,0.001253133
3.21,0.001253133
3.36,0
3.52,0
