X (cm),Measured
-7.35,0
-7.2,0
-7.04,0
-6.88,0
-6.72,0
-6.56,0.00625
-6.4,0.00625
-6.24,0.00625
-6.08,0.00625
-5.92,0.00625
-5.76,0.00625
-5.61,0.00625
-5.44,0.00625
-5.28,0.00625
-5.12,0.00625
-4.96,0.00625
-4.8,0.00625
-4.64,0.00625
-4.48,0.00625
-4.32,0.0125
-4.16,0.0125
-4,0.0125
-3.84,0.0125
-3.68,0.0125
-3.52,0.0125
-3.36,0.0125
-3.2,0.01875
-3.04,0.01875
-2.88,0.01875
-2.72,0.01875
-2.56,0.025
-2.4,0.025
-2.24,0.03125
-2.08,0.04375
-1.92,0.0625
-1.88,0.08125
-1.84,0.08125
-1.8,0.09375
-1.76,0.10625
-1.75,0.10625
-1.72,0.125
-1.68,0.1375
-1.64,0.16875
-1.6,0.19375
-1.56,0.23125
-1.52,0.275
-1.48,0.31875
-1.44,0.36875
-1.4,0.4375
-1.36,0.49375
-1.32,0.55
-1.28,0.60625
-1.24,0.6625
-1.19,0.70625
-1.16,0.75
-1.12,0.79375
-1.08,0.825
-1.04,0.85
-0.99,0.86875
-0.96,0.89375
-0.92,0.9125
-0.88,0.925
-0.84,0.9375
-0.8,0.95
-0.76,0.95625
-0.72,0.9625
-0.68,0.9625
-0.64,0.975
-0.47,0.9875
-0.32,0.9875
-0.16,1
0,1
0.17,1
0.32,0.99375
0.48,0.98125
0.65,0.96875
0.8,0.94375
0.84,0.93125
0.88,0.925
0.92,0.91875
0.96,0.9
0.97,0.89375
1,0.8875
1.04,0.86875
1.08,0.8375
1.12,0.80625
1.16,0.775
1.2,0.75
1.24,0.69375
1.28,0.65625
1.32,0.6
1.36,0.53125
1.4,0.475
1.44,0.4125
1.48,0.35625
1.52,0.30625
1.56,0.25625
1.6,0.2125
1.64,0.175
1.68,0.15
1.72,0.125
1.76,0.10625
1.8,0.09375
1.84,0.08125
1.88,0.06875
1.92,0.0625
1.95,0.05625
2,0.05
2.04,0.05
2.08,0.04375
2.24,0.03125
2.41,0.03125
2.56,0.025
2.71,0.01875
2.88,0.01875
3.04,0.01875
3.2,0.0125
3.37,0.0125
3.52,0.0125
3.68,0.0125
3.84,0.0125
4,0.0125
4.16,0.00625
4.32,0.00625
4.48,0.00625
4.64,0.00625
4.8,0.00625
4.96,0.00625
5.12,0.00625
5.28,0.00625
5.43,0.00625
5.6,0.00625
5.76,0.00625
5.92,0.00625
6.07,0.00625
6.24,0.00625
6.4,0.00625
6.56,0
6.72,0
6.88,0
7.03,0
7.21,0
7.36,0
