[ T - C r o s s ]
    title = energy spectrum
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.3000000      # minimum value of x-mesh points
     xmax =  0.3000000      # maximum value of x-mesh points
#    xdel =  0.6000000      # mesh width of x-mesh points
       nx =    1            # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -3.00000E-01  3.00000E-01
   y-type =    1            # y-mesh is given by the below data
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
           -3.00000E+01 -1.00000E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.3000000      # minimum value of z-mesh points
     zmax =  0.3000000      # maximum value of z-mesh points
#    zdel =  0.6000000      # mesh width of z-mesh points
       nz =    1            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -3.00000E-01  3.00000E-01
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   7.000000      # maximum value of e-mesh points
#    edel =  0.1000000      # mesh width of e-mesh points
       ne =   70            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  1.00000E-01  2.00000E-01  3.00000E-01  4.00000E-01
#           5.00000E-01  6.00000E-01  7.00000E-01  8.00000E-01  9.00000E-01
#           1.00000E+00  1.10000E+00  1.20000E+00  1.30000E+00  1.40000E+00
#           1.50000E+00  1.60000E+00  1.70000E+00  1.80000E+00  1.90000E+00
#           2.00000E+00  2.10000E+00  2.20000E+00  2.30000E+00  2.40000E+00
#           2.50000E+00  2.60000E+00  2.70000E+00  2.80000E+00  2.90000E+00
#           3.00000E+00  3.10000E+00  3.20000E+00  3.30000E+00  3.40000E+00
#           3.50000E+00  3.60000E+00  3.70000E+00  3.80000E+00  3.90000E+00
#           4.00000E+00  4.10000E+00  4.20000E+00  4.30000E+00  4.40000E+00
#           4.50000E+00  4.60000E+00  4.70000E+00  4.80000E+00  4.90000E+00
#           5.00000E+00  5.10000E+00  5.20000E+00  5.30000E+00  5.40000E+00
#           5.50000E+00  5.60000E+00  5.70000E+00  5.80000E+00  5.90000E+00
#           6.00000E+00  6.10000E+00  6.20000E+00  6.30000E+00  6.40000E+00
#           6.50000E+00  6.60000E+00  6.70000E+00  6.80000E+00  6.90000E+00
#           7.00000E+00
     unit =    2            # unit is [1/cm^2/MeV/source]
     axis =  eng            # axis of output
     file = cross_eng-w.out  # file name of output for the above axis
   output = flux            # surface crossing flux
     part =  photon     electron 
# kf/name :  22         11       
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
   stdcut = 1.0000000E-02   # (D=-1) threshold value of STD cutoff
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          81 (  0)           0 (  0)          81 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iz surf =  1   ix  =  1   iy  =  1
#   zmesh =   -3.0000E-01
#   x = (  -3.0000E-01  -   3.0000E-01  )
#   y = (  -3.0000E+01  -  -1.0000E+01  )

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(photon  ),hh0l   n y(electron),hh0dr  n 
#  e-lower      e-upper      photon      r.err    electron    r.err 
   0.0000E+00   1.0000E-01   7.3645E-04  0.0132   8.0293E-08  0.1920
   1.0000E-01   2.0000E-01   4.7370E-03  0.0057   6.8535E-06  0.0343
   2.0000E-01   3.0000E-01   1.0212E-02  0.0033   5.0471E-06  0.0310
   3.0000E-01   4.0000E-01   1.0360E-02  0.0030   3.3793E-06  0.0484
   4.0000E-01   5.0000E-01   8.8717E-03  0.0043   2.7894E-06  0.0468
   5.0000E-01   6.0000E-01   8.1211E-03  0.0039   2.4336E-06  0.0757
   6.0000E-01   7.0000E-01   6.8677E-03  0.0043   2.3068E-06  0.0810
   7.0000E-01   8.0000E-01   6.0915E-03  0.0054   1.8361E-06  0.0922
   8.0000E-01   9.0000E-01   5.7338E-03  0.0040   1.4732E-06  0.0908
   9.0000E-01   1.0000E+00   4.8501E-03  0.0058   1.7562E-06  0.2565
   1.0000E+00   1.1000E+00   4.3371E-03  0.0061   1.6237E-06  0.1046
   1.1000E+00   1.2000E+00   3.9416E-03  0.0056   1.0538E-06  0.1259
   1.2000E+00   1.3000E+00   3.6223E-03  0.0062   9.7658E-07  0.1006
   1.3000E+00   1.4000E+00   3.4889E-03  0.0070   1.0587E-06  0.1228
   1.4000E+00   1.5000E+00   3.0898E-03  0.0093   9.5315E-07  0.1770
   1.5000E+00   1.6000E+00   2.9709E-03  0.0062   1.2522E-06  0.1706
   1.6000E+00   1.7000E+00   2.7074E-03  0.0084   1.3119E-06  0.4108
   1.7000E+00   1.8000E+00   2.5021E-03  0.0078   8.6651E-07  0.1744
   1.8000E+00   1.9000E+00   2.3719E-03  0.0069   8.0869E-07  0.1438
   1.9000E+00   2.0000E+00   2.1508E-03  0.0085   7.4196E-07  0.3381
   2.0000E+00   2.1000E+00   1.9804E-03  0.0093   5.2721E-07  0.1882
   2.1000E+00   2.2000E+00   1.8569E-03  0.0098   5.2014E-07  0.1544
   2.2000E+00   2.3000E+00   1.7484E-03  0.0087   5.2858E-07  0.1673
   2.3000E+00   2.4000E+00   1.6750E-03  0.0107   4.6428E-07  0.2433
   2.4000E+00   2.5000E+00   1.5970E-03  0.0104   5.8429E-07  0.1917
   2.5000E+00   2.6000E+00   1.5126E-03  0.0080   3.5829E-07  0.1821
   2.6000E+00   2.7000E+00   1.4307E-03  0.0108   4.4986E-07  0.1946
   2.7000E+00   2.8000E+00   1.3074E-03  0.0103   3.6509E-07  0.2527
   2.8000E+00   2.9000E+00   1.1729E-03  0.0135   2.9484E-07  0.2559
   2.9000E+00   3.0000E+00   1.1398E-03  0.0075   3.5499E-07  0.3053
   3.0000E+00   3.1000E+00   1.1414E-03  0.0122   3.3531E-07  0.2797
   3.1000E+00   3.2000E+00   1.1640E-03  0.0139   3.5339E-07  0.2807
   3.2000E+00   3.3000E+00   1.0063E-03  0.0132   1.3921E-07  0.2191
   3.3000E+00   3.4000E+00   9.8627E-04  0.0122   2.4723E-07  0.3745
   3.4000E+00   3.5000E+00   9.0934E-04  0.0159   1.8455E-07  0.3238
   3.5000E+00   3.6000E+00   7.4410E-04  0.0125   4.4085E-07  0.2969
   3.6000E+00   3.7000E+00   7.1930E-04  0.0154   1.9995E-07  0.3835
   3.7000E+00   3.8000E+00   7.4018E-04  0.0147   1.9898E-07  0.2070
   3.8000E+00   3.9000E+00   7.2103E-04  0.0150   2.1785E-07  0.5687
   3.9000E+00   4.0000E+00   7.6600E-04  0.0139   1.2530E-07  0.3261
   4.0000E+00   4.1000E+00   7.3351E-04  0.0150   4.9803E-07  0.8770
   4.1000E+00   4.2000E+00   6.6377E-04  0.0128   9.8069E-08  0.6442
   4.2000E+00   4.3000E+00   6.6531E-04  0.0169   2.7081E-07  0.4390
   4.3000E+00   4.4000E+00   5.6734E-04  0.0167   6.5619E-08  0.3968
   4.4000E+00   4.5000E+00   5.7042E-04  0.0145   1.6533E-07  0.5984
   4.5000E+00   4.6000E+00   5.0519E-04  0.0163   2.6827E-07  0.4761
   4.6000E+00   4.7000E+00   5.1680E-04  0.0130   1.1835E-07  0.5111
   4.7000E+00   4.8000E+00   5.2560E-04  0.0175   1.3416E-07  0.4946
   4.8000E+00   4.9000E+00   4.3798E-04  0.0179   9.0874E-08  0.4432
   4.9000E+00   5.0000E+00   4.5099E-04  0.0190   2.1181E-07  0.5088
   5.0000E+00   5.1000E+00   3.9300E-04  0.0219   1.7708E-08  0.7309
   5.1000E+00   5.2000E+00   3.9277E-04  0.0221   2.8259E-08  0.7343
   5.2000E+00   5.3000E+00   3.2257E-04  0.0218   6.1799E-07  0.6988
   5.3000E+00   5.4000E+00   3.4498E-04  0.0221   3.4955E-08  1.0000
   5.4000E+00   5.5000E+00   3.2571E-04  0.0221   0.0000E+00  0.0000
   5.5000E+00   5.6000E+00   2.9875E-04  0.0253   2.0425E-08  1.0000
   5.6000E+00   5.7000E+00   2.9530E-04  0.0187   9.9512E-08  0.8725
   5.7000E+00   5.8000E+00   2.9749E-04  0.0204   1.8242E-08  0.6994
   5.8000E+00   5.9000E+00   2.3078E-04  0.0234   1.2252E-07  0.5120
   5.9000E+00   6.0000E+00   2.2818E-04  0.0250   9.0621E-08  1.0000
   6.0000E+00   6.1000E+00   2.2607E-04  0.0264   3.4223E-08  0.7925
   6.1000E+00   6.2000E+00   2.0792E-04  0.0275   0.0000E+00  0.0000
   6.2000E+00   6.3000E+00   1.8822E-04  0.0302   0.0000E+00  0.0000
   6.3000E+00   6.4000E+00   1.5425E-04  0.0273   0.0000E+00  0.0000
   6.4000E+00   6.5000E+00   1.4210E-04  0.0330   0.0000E+00  0.0000
   6.5000E+00   6.6000E+00   8.1672E-05  0.0487   0.0000E+00  0.0000
   6.6000E+00   6.7000E+00   8.6824E-05  0.0423   0.0000E+00  0.0000
   6.7000E+00   6.8000E+00   6.8251E-05  0.0443   0.0000E+00  0.0000
   6.8000E+00   6.9000E+00   3.7810E-05  0.0689   0.0000E+00  0.0000
   6.9000E+00   7.0000E+00   2.6871E-05  0.0769   0.0000E+00  0.0000

#   sum over                 1.3207E-02           4.8499E-06

'no. =  1,  iz surf =  1,  ix =  1,  iy =  1'
msuc: {\huge energy spectrum}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.02}
wt: s(0.7)
\vspace{-3}
  z surface crossing
  z     &=&  -3.0000E-01 [cm]
  area  &=&   1.2000E+01 [cm^2]
  xmin  &=&  -3.0000E-01 [cm]
  xmax  &=&   3.0000E-01 [cm]
  ymin  &=&  -3.0000E+01 [cm]
  ymax  &=&  -1.0000E+01 [cm]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  2   iz surf =  2   ix  =  1   iy  =  1
#   zmesh =    3.0000E-01
#   x = (  -3.0000E-01  -   3.0000E-01  )
#   y = (  -3.0000E+01  -  -1.0000E+01  )

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(photon  ),hh0l   n y(electron),hh0dr  n 
#  e-lower      e-upper      photon      r.err    electron    r.err 
   0.0000E+00   1.0000E-01   7.4693E-04  0.0116   1.9854E-07  0.3109
   1.0000E-01   2.0000E-01   4.7948E-03  0.0061   6.9916E-06  0.0285
   2.0000E-01   3.0000E-01   1.0209E-02  0.0036   5.1063E-06  0.0827
   3.0000E-01   4.0000E-01   1.0424E-02  0.0038   3.8085E-06  0.0579
   4.0000E-01   5.0000E-01   8.9241E-03  0.0050   2.3991E-06  0.0540
   5.0000E-01   6.0000E-01   8.1418E-03  0.0037   2.4911E-06  0.0529
   6.0000E-01   7.0000E-01   6.8491E-03  0.0036   2.0428E-06  0.0706
   7.0000E-01   8.0000E-01   6.1001E-03  0.0060   1.6167E-06  0.0851
   8.0000E-01   9.0000E-01   5.7145E-03  0.0050   1.4673E-06  0.0796
   9.0000E-01   1.0000E+00   4.8326E-03  0.0061   1.5397E-06  0.0759
   1.0000E+00   1.1000E+00   4.3218E-03  0.0052   1.4925E-06  0.1250
   1.1000E+00   1.2000E+00   3.9910E-03  0.0069   1.1159E-06  0.1024
   1.2000E+00   1.3000E+00   3.5955E-03  0.0069   1.1382E-06  0.0918
   1.3000E+00   1.4000E+00   3.4551E-03  0.0063   1.0189E-06  0.1035
